City,2010_White,2010_Black,2010_Native,2010_Asian,2010_PacIsle,2010_Other,2010_Mixed,2010_HispLat,2010_HH_Inc,2010_Fam_Inc,2010_Male_Inc,2010_Female_Inc,2010_PerCap_Inc,2010_Fam_Pov,2010_Pop_Pov,2010_Child_Pov,2010_Senior_Pov
Decatur,66.50%,21.70%,0.70%,0.90%,0.10%,7.90%,2.20%,12.40%,"$43,090.00","$55,158.00","$42,146.00","$27,477.00","$23,615.00",12.80%,17.50%,28.30%,11.10%
Deer Park,,,,,,,,,,,,,,,,,
Delmar,,,,,,,,,,,,,,,,,
Delta,,,,,,,,,,,,,,,,,
Demopolis,47.30%,50.10%,0.10%,0.50%,0.00%,1.10%,0.80%,2.40%,"$35,583.00","$49,973.00","$50,734.00","$31,520.00","$21,116.00",19.10%,26.80%,25.40%,27.50%
Detroit,79.35%,20.65%,,,,,,,"$19,531.00","$29,750.00","$24,643.00","$20,000.00","$10,107.00",30.20%,23.90%,28.60%,13.50%
Dickinson,,,,,,,,,,,,,,,,,
Dixiana,,,,,,,,,,,,,,,,,
Dixons Mills,,,,,,,,,,,,,,,,,
Docena,,,,,,,,,,,,,,,,,
Dodge City,99.51%,,,,,,0.49%,0.33%,"$30,417.00","$33,393.00","$29,028.00","$18,214.00","$14,111.00",6.90%,8.20%,6.80%,21.40%
Dolomite,,,,,,,,,,,,,,,,,
Dora,85.60%,12.20%,0.30%,0.00%,0.10%,0.30%,1.30%,0.70%,"$26,596.00","$37,946.00","$35,586.00","$22,652.00","$18,902.00",29.00%,25.00%,42.30%,3.10%
Dothan,63.10%,32.50%,0.40%,1.10%,0.10%,1.10%,1.80%,2.90%,"$42,124.00","$52,855.00","$43,892.00","$28,921.00","$24,306.00",13.40%,17.50%,27.70%,10.20%
Double Springs,97.30%,0.60%,0.80%,,,0.10%,0.90%,0.40%,"$30,865.00","$32,232.00","$27,450.00","$21,641.00","$13,973.00",21.10%,25.60%,38.70%,11.30%
Douglas,96.79%,,0.57%,0.19%,,2.08%,0.38%,2.64%,"$33,594.00","$36,000.00","$32,143.00","$19,375.00","$22,410.00",8.80%,9.80%,15.90%,9.80%
Dozier,57.03%,39.64%,,,,2.05%,1.28%,1.28%,"$13,750.00","$16,667.00","$23,438.00","$18,750.00","$8,964.00",42.60%,49.90%,76.10%,39.70%
Duncanville,,,,,,,,,,,,,,,,,
Dunnavant,,,,,,,,,,,,,,,,,
Dutton,97.10%,,2.26%,,,,0.65%,0.65%,"$32,125.00","$35,000.00","$23,500.00","$18,438.00","$14,052.00",1.10%,7.20%,3.30%,21.10%
East Brewton,74.70%,20.80%,0.60%,,0.00%,2.60%,1.30%,3.10%,"$26,065.00","$34,120.00","$35,833.00","$17,458.00","$15,181.00",26.40%,29.70%,39.10%,13.10%
East Point,,,,,,,,,,,,,,,,,
Eastaboga,,,,,,,,,,,,,,,,,
Eclectic,86.40%,11.00%,0.40%,0.00%,,0.00%,2.10%,1.30%,"$34,750.00","$42,188.00","$35,815.00","$27,684.00","$19,181.00",8.60%,13.10%,22.40%,5.70%
Edgewater,37.95%,61.10%,,,,0.14%,0.82%,1.10%,"$21,322.00","$47,240.00","$26,786.00","$20,962.00","$14,240.00",2.50%,10.20%,9.30%,14.40%
Edwardsville,98.39%,0.54%,,,,,1.08%,0.54%,"$19,808.00","$29,792.00","$30,500.00","$21,250.00","$12,835.00",16.40%,28.70%,26.40%,20.00%
Egypt,,,,,,,,,,,,,,,,,
Eight Mile,,,,,,,,,,,,,,,,,
Elba,62.10%,34.30%,1.20%,0.30%,0.20%,0.80%,1.20%,1.10%,"$28,975.00","$32,065.00","$31,652.00","$21,786.00","$14,878.00",27.60%,27.10%,40.40%,17.80%
Elberta,92.90%,1.40%,0.30%,0.80%,0.10%,2.50%,2.00%,5.30%,"$30,161.00","$31,964.00","$29,575.00","$27,971.00","$17,027.00",12.30%,18.50%,40.90%,5.70%
Eldridge,95.65%,4.35%,,,,,,2.17%,"$30,250.00","$35,313.00","$26,875.00","$24,167.00","$18,227.00",5.50%,13.60%,29.20%,11.10%
Elgin,,,,,,,,,,,,,,,,,
Elkmont,83.40%,15.11%,,,,1.06%,0.43%,1.28%,"$31,771.00","$35,000.00","$33,750.00","$21,250.00","$17,654.00",15.90%,20.40%,34.90%,13.90%
Elmore,64.30%,26.70%,0.10%,,,7.40%,1.30%,8.80%,"$33,295.00","$36,354.00","$37,667.00","$22,193.00","$17,139.00",20.70%,20.30%,29.80%,13.90%
Emelle,6.45%,93.55%,,,,,,,"$5,833.00","$5,000.00","$36,250.00","$23,333.00","$10,738.00",66.70%,61.90%,100.00%,0.00%
Emerald Mountain,,,,,,,,,,,,,,,,,
Empire,,,,,,,,,,,,,,,,,
Enterprise,69.40%,20.70%,0.50%,2.00%,0.30%,4.10%,2.90%,8.80%,"$48,042.00","$63,036.00","$45,556.00","$31,588.00","$25,185.00",13.90%,15.60%,23.70%,12.90%
Epes,15.53%,83.98%,0.49%,,,,,,"$25,625.00","$38,125.00","$25,833.00","$14,583.00","$10,404.00",22.20%,25.00%,31.60%,15.00%
Equality,,,,,,,,,,,,,,,,,
Ethelsville,74.10%,25.90%,,,,,,,"$29,375.00","$43,125.00","$24,063.00","$31,500.00","$15,341.00",33.30%,33.90%,22.20%,28.60%
Eufaula,51.00%,44.60%,0.50%,0.60%,0.20%,2.20%,0.90%,4.30%,"$34,025.00","$44,234.00","$37,985.00","$23,890.00","$17,515.00",18.00%,23.20%,32.80%,20.70%
Eunola,89.56%,8.79%,0.55%,,,,1.10%,0.55%,"$26,250.00","$32,188.00","$25,000.00","$16,250.00","$15,120.00",10.20%,14.60%,16.00%,15.80%
Eutaw,18.10%,80.20%,0.10%,0.40%,,,0.60%,1.30%,"$29,196.00","$39,722.00","$43,125.00","$28,077.00","$14,126.00",27.40%,28.70%,38.70%,17.00%
Eva,98.37%,,0.20%,,,,1.43%,0.41%,"$38,958.00","$45,781.00","$32,159.00","$21,875.00","$19,069.00",7.20%,6.70%,3.20%,13.20%
Evergreen,46.23%,52.78%,0.19%,0.19%,0.03%,0.08%,0.50%,0.83%,"$20,979.00","$29,258.00","$25,357.00","$21,356.00","$13,828.00",27.60%,34.20%,50.60%,28.00%
Excel,91.10%,5.00%,1.40%,,,0.10%,2.40%,0.70%,"$34,667.00","$39,167.00","$40,000.00","$36,250.00","$17,863.00",10.70%,12.50%,20.00%,13.60%
Fairfield,4.20%,94.60%,0.00%,0.00%,0.00%,0.70%,0.40%,1.10%,"$34,242.00","$41,841.00","$34,854.00","$29,788.00","$18,221.00",22.20%,24.20%,40.50%,21.70%
Fairford,,,,,,,,,,,,,,,,,
Fairhope,91.10%,6.20%,0.20%,0.70%,0.00%,0.90%,0.80%,2.80%,"$56,157.00","$73,549.00","$60,591.00","$36,218.00","$35,086.00",5.00%,5.90%,9.80%,4.60%
Fairview,86.59%,,0.77%,0.19%,,7.28%,5.17%,16.28%,"$31,875.00","$37,500.00","$21,944.00","$21,042.00","$13,817.00",13.00%,14.80%,26.00%,11.60%
Falkville,92.10%,3.40%,1.10%,,,1.30%,1.80%,2.20%,"$36,848.00","$44,150.00","$35,450.00","$21,635.00","$16,850.00",7.90%,11.50%,15.10%,24.80%
Faunsdale,42.98%,57.02%,,,,,,4.60%,"$28,750.00","$50,417.00","$30,833.00","$19,500.00","$14,697.00",0.00%,3.20%,0.00%,0.00%
Fayette,73.40%,24.30%,0.30%,0.30%,,0.60%,1.20%,1.40%,"$31,705.00","$41,905.00","$34,271.00","$27,500.00","$16,602.00",15.40%,20.40%,23.20%,15.90%
Fayetteville,,,,,,,,,,,,,,,,,
Fitzpatrick,,,,,,,,,,,,,,,,,
Five Points,47.26%,52.05%,,,,,0.68%,,"$38,125.00","$41,750.00","$21,250.00","$20,000.00","$12,764.00",8.90%,13.90%,26.30%,6.10%
Flat Rock,94.90%,,,,,,3.30%,1.20%,,,,,"$16,748.00",,13.20%,,
Flomaton,69.50%,27.20%,1.60%,,,,1.32%,2.30%,"$25,875.00","$34,141.00","$30,083.00","$15,292.00","$14,360.00",16.50%,21.80%,31.00%,18.50%
Florala,80.10%,15.80%,0.80%,0.40%,,0.70%,2.30%,2.80%,"$30,833.00","$36,435.00","$24,000.00","$20,100.00","$16,344.00",15.70%,20.20%,28.50%,15.40%
Florence,75.00%,19.40%,0.40%,1.40%,0.10%,,1.90%,3.60%,"$28,330.00","$40,577.00","$34,398.00","$21,385.00","$19,464.00",14.40%,20.40%,25.90%,13.30%
Foley,77.10%,14.90%,0.60%,1.10%,0.10%,4.70%,1.60%,9.50%,"$41,221.00","$50,854.00","$36,959.00","$26,855.00","$22,967.00",15.40%,19.20%,35.90%,5.70%
Forestdale,26.20%,71.40%,0.20%,0.20%,,0.90%,1.00%,1.40%,"$52,605.00","$60,067.00","$42,207.00","$36,417.00","$23,819.00",6.40%,8.70%,12.60%,1.80%
Forkland,10.65%,89.19%,,,,,0.16%,,"$18,698.00","$22,115.00","$24,375.00","$16,544.00","$9,314.00",29.50%,31.50%,38.20%,31.00%
Fort Deposit,23.70%,75.50%,,,,,0.60%,0.40%,"$30,000.00","$31,591.00","$41,579.00","$25,341.00","$14,411.00",19.40%,22.20%,43.60%,25.40%
Fort McClellan,,,,,,,,,,,,,,,,,
Fort Mitchell,,,,,,,,,,,,,,,,,
Fort Morgan,,,,,,,,,,,,,,,,,
Fort Payne,72.00%,4.20%,0.90%,0.80%,0.20%,0.10%,2.50%,20.90%,"$33,560.00","$40,200.00","$29,731.00","$20,135.00","$19,690.00",8.30%,12.30%,15.00%,17.60%
Fort Rucker,68.50%,18.10%,0.90%,2.10%,0.70%,5.30%,4.40%,$11.70,"$34,603.00","$33,664.00","$29,321.00","$18,750.00","$14,495.00",6.10%,7.10%,9.30%,16.70%
Franklin,43.62%,56.38%,,,,,,0.67%,"$45,923.00","$53,111.00","$43,840.00","$40,744.00","$45,495.00",,4.90%,,9.70%
Franklin,,,,,,,,,,,,,,,,,
Fredonia,,,,,,,,,,,,,,,,,
Frisco City,45.40%,49.30%,1.30%,0.00%,,0.80%,2.80%,1.80%,"$23,884.00","$28,512.00","$32,917.00","$19,327.00","$12,181.00",34.60%,38.30%,60.70%,19.20%
Fruitdale,,,,,,,,,,,,,,,,,
Fruithurst,99.63%,0.37%,,,,,,0.74%,"$27,813.00","$31,667.00","$22,188.00","$16,250.00","$18,130.00",17.00%,17.90%,19.50%,2.60%
Fulton,82.14%,17.86%,,,,,,,"$23,750.00","$33,500.00","$29,107.00","$15,417.00","$12,602.00",11.80%,17.80%,22.90%,16.70%
Fultondale,75.10%,16.60%,0.40%,1.00%,,4.60%,2.00%,10.80%,"$44,880.00","$55,565.00","$43,109.00","$35,051.00","$24,903.00",8.10%,11.30%,20.30%,9.10%
Fyffe,93.70%,0.30%,1.50%,0.70%,,1.10%,2.50%,1.30%,"$30,298.00","$31,908.00","$30,385.00","$18,636.00","$13,713.00",13.70%,21.60%,33.60%,19.90%
Gadsden,57.30%,36.30%,0.40%,0.60%,0.40%,3.20%,1.90%,5.40%,"$28,386.00","$34,643.00","$33,827.00","$27,342.00","$18,610.00",20.20%,24.90%,38.90%,14.30%
Gainesville,16.30%,82.20%,,,,,1.40%,,"$10,938.00","$13,750.00","$25,625.00","$15,625.00","$16,176.00",60.40%,70.10%,82.60%,48.30%
Gallant,,,,,,,,,,,,,,,,,
Gallion,,,,,,,,,,,,,,,,,
Gantt,75.93%,21.99%,0.83%,,,0.41%,0.83%,0.83%,"$25,536.00","$40,250.00","$32,250.00","$18,750.00","$12,850.00",15.50%,19.20%,23.00%,15.40%
Garden City,99.29%,,,,,0.53%,0.18%,0.89%,"$28,000.00","$37,031.00","$25,583.00","$20,000.00","$13,793.00",7.40%,10.70%,7.80%,16.70%
Gardendale,88.40%,8.60%,0.30%,1.20%,0.00%,0.60%,1.00%,1.50%,"$60,244.00","$79,044.00","$52,782.00","$41,224.00","$30,748.00",1.90%,3.50%,3.20%,6.30%
Gaylesville,99.29%,0.00%,0.00%,0.00%,0.00%,0.00%,0.71%,0.00%,"$26,875.00","$33,750.00","$32,813.00","$20,313.00","$13,531.00",12.20%,13.00%,10.70%,10.50%
Geiger,24.70%,72.40%,,,,,,2.90%,"$17,917.00","$23,750.00","$30,625.00","$10,417.00","$8,585.00",33.00%,41.00%,60.00%,33.00%
Geneva,83.20%,14.00%,0.40%,0.40%,0.00%,0.50%,1.50%,1.80%,,,,,,,,,
Georgiana,33.10%,65.40%,0.30%,,,,0.80%,0.30%,"$18,694.00","$20,139.00","$30,625.00","$18,519.00","$11,181.00",39.40%,43.60%,54.10%,32.50%
Geraldine,92.50%,0.30%,3.70%,,,0.70%,1.80%,2.00%,"$24,028.00","$34,583.00","$27,083.00","$20,179.00","$18,330.00",12.10%,17.00%,17.40%,20.30%
Gilbertown,86.63%,10.70%,1.07%,,,,1.60%,,"$27,917.00","$44,167.00","$40,625.00","$21,250.00","$18,492.00",15.50%,23.10%,38.60%,19.40%
Glen Allen,83.03%,15.61%,,0.68%,,0.45%,0.23%,1.36%,"$26,827.00","$36,875.00","$24,531.00","$19,063.00","$17,877.00",12.60%,19.30%,21.50%,11.30%
Glencoe,96.50%,1.30%,0.30%,0.50%,0.00%,0.20%,1.10%,0.80%,"$53,279.00","$61,810.00","$53,295.00","$31,481.00","$24,531.00",3.50%,5.20%,6.70%,5.80%
Glenwood,69.11%,29.84%,,,,,1.05%,0.52%,"$28,750.00","$36,875.00","$31,250.00","$21,250.00","$19,074.00",7.40%,13.40%,21.20%,25.00%
Goldville,100.00%,,,,,,,,"$25,625.00","$35,000.00","$27,500.00","$21,875.00","$15,209.00",0.00%,13.60%,0.00%,100.00%
Good Hope,92.70%,0.30%,0.40%,0.50%,,5.20%,1.10%,7.70%,"$45,784.00","$48,080.00","$50,750.00","$27,865.00","$22,771.00",13.70%,19.30%,29.70%,21.40%
Goodwater,24.30%,73.70%,0.70%,0.00%,,0.70%,0.50%,0.70%,"$24,909.00","$31,081.00","$24,554.00","$24,348.00","$12,957.00",23.60%,28.20%,48.20%,18.30%
Gordo,58.90%,37.80%,0.20%,0.20%,,0.90%,2.00%,1.50%,"$23,813.00","$35,714.00","$27,500.00","$21,029.00","$13,937.00",17.50%,23.10%,32.40%,19.30%
Gordon,23.04%,74.02%,0.74%,0.25%,,0.25%,1.72%,1.47%,"$16,917.00","$17,708.00","$25,625.00","$15,536.00","$6,795.00",30.30%,39.90%,48.90%,19.40%
Gordonville,3.77%,95.91%,,,0.31%,,,1.26%,"$10,278.00","$21,250.00","$25,375.00","$22,292.00","$8,948.00",37.80%,42.50%,38.00%,69.10%
Gorham%27s Bluff,,,,,,,,,,,,,,,,,
Goshen,67.67%,29.33%,3.00%,,,,,,"$24,219.00","$28,393.00","$22,969.00","$15,000.00","$13,664.00",17.20%,23.70%,39.00%,15.90%
Grady,,,,,,,,,,,,,,,,,
Graham,,,,,,,,,,,,,,,,,
Grand Bay,86.90%,9.40%,0.60%,0.70%,0.00%,0.70%,1.70%,2.30%,"$47,722.00","$52,353.00","$42,057.00","$27,277.00","$21,141.00",9.80%,13.80%,23.00%,3.10%
Grant,96.54%,0.60%,1.05%,0.15%,,0.15%,1.50%,0.30%,"$37,188.00","$45,417.00","$35,795.00","$29,750.00","$20,014.00",6.00%,8.40%,9.80%,11.50%
Grayson Valley,70.60%,25.80%,0.30%,0.90%,,0.00%,1.80%,2.20%,"$45,260.00","$54,503.00","$43,750.00","$34,481.00","$22,950.00",0.00%,2.00%,0.00%,7.50%
Graysville,73.90%,23.60%,0.40%,0.20%,,0.40%,1.40%,1.70%,"$35,750.00","$44,926.00","$37,156.00","$30,917.00","$16,308.00",15.90%,20.10%,21.50%,13.00%
Green Pond,,,,,,,,,,,,,,,,,
Greenhill,,,,,,,,,,,,,,,,,
Greensboro,32.00%,66.50%,0.20%,,,,0.60%,0.50%,"$30,082.00","$36,379.00","$28,869.00","$22,528.00","$16,277.00",19.00%,23.80%,34.90%,23.70%
Greenville,41.70%,55.50%,0.00%,1.80%,,0.50%,0.50%,1.30%,"$26,664.00","$31,107.00","$33,716.00","$24,928.00","$15,649.00",20.30%,24.90%,30.10%,20.90%
Grimes,60.78%,36.38%,0.22%,0.22%,,0.22%,2.18%,0.65%,"$28,839.00","$31,389.00","$26,346.00","$19,063.00","$14,884.00",5.60%,9.60%,13.60%,18.20%
Grove Hill,56.60%,41.30%,0.30%,,,0.50%,1.00%,2.00%,,,,,,,,,
Grove Oak,,,,,,,,,,,,,,,,,
Gu-Win,100.00%,,,,,,,2.94%,"$29,375.00","$42,500.00","$39,375.00","$18,906.00","$16,868.00",11.30%,9.90%,5.30%,6.80%
Guin,86.90%,10.90%,0.00%,0.10%,,0.60%,1.40%,1.30%,"$28,571.00","$41,375.00","$30,670.00","$27,788.00","$20,359.00",17.90%,20.60%,26.90%,19.20%
Gulf Shores,97.54%,0.22%,0.44%,0.30%,0.04%,0.40%,1.07%,1.23%,"$41,826.00","$51,862.00","$40,259.00","$22,467.00","$24,356.00",6.80%,9.90%,6.40%,6.50%
Gulfcrest,,,,,,,,,,,,,,,,,
Gum Springs,,,,,,,,,,,,,,,,,
Guntersville,85.80%,7.80%,0.50%,1.50%,0.00%,2.50%,1.90%,3.80%,"$38,094.00","$57,610.00","$39,063.00","$31,410.00","$23,468.00",16.90%,20.50%,34.90%,19.10%
Gurley,81.85%,15.41%,0.46%,0.34%,,0.57%,1.37%,2.05%,"$23,831.00","$26,875.00","$31,146.00","$20,000.00","$13,271.00",23.40%,21.40%,28.30%,31.10%
Hackleburg,97.70%,0.10%,0.20%,,,1.00%,1.10%,1.30%,"$29,350.00","$34,375.00","$27,426.00","$24,625.00","$16,584.00",27.40%,31.10%,51.30%,18.50%
Hackneyville,,,,,,,,,,,,,,,,,
Haleburg,77.78%,18.52%,,,,,3.70%,0.93%,"$25,500.00","$28,750.00","$30,417.00","$21,250.00","$11,657.00",14.30%,23.30%,35.70%,18.50%
Haleyville,92.10%,0.70%,1.00%,0.50%,,3.40%,2.00%,6.00%,"$23,191.00","$35,463.00","$35,292.00","$20,789.00","$15,636.00",29.80%,37.50%,61.60%,21.40%
Hamilton,89.30%,7.70%,0.40%,0.20%,0.00%,1.20%,1.10%,3.10%,"$31,297.00","$42,361.00","$31,112.00","$30,542.00","$17,442.00",12.10%,19.20%,30.10%,15.50%
Hammondville,88.30%,0.80%,0.20%,0.60%,,5.10%,3.30%,6.80%,"$33,056.00","$34,500.00","$33,542.00","$17,045.00","$20,582.00",8.00%,10.70%,14.20%,20.00%
Hanceville,92.40%,3.60%,0.20%,0.70%,0.00%,1.40%,1.60%,2.40%,"$30,903.00","$45,560.00","$34,338.00","$35,417.00","$16,078.00",14.50%,24.20%,28.10%,9.80%
Harpersville,73.10%,23.50%,0.30%,0.70%,,1.00%,1.30%,2.60%,"$37,768.00","$42,065.00","$43,301.00","$32,434.00","$20,170.00",23.90%,28.40%,55.30%,23.40%
Hartford,77.90%,17.90%,0.60%,,,1.80%,1.80%,3.10%,"$26,086.00","$36,900.00","$31,505.00","$17,369.00","$16,507.00",14.90%,21.10%,16.00%,20.60%
Hartselle,91.50%,4.30%,0.80%,0.40%,0.00%,1.30%,1.70%,2.50%,"$47,306.00","$57,585.00","$47,343.00","$28,855.00","$21,746.00",9.40%,11.70%,12.80%,14.90%
Harvest,62.20%,31.70%,0.50%,1.20%,,1.10%,3.20%,3.10%,"$67,468.00","$70,536.00","$48,995.00","$35,978.00","$28,619.00",1.20%,3.70%,4.00%,2.70%
Hatchechubbee,,,,,,,,,,,,,,,,,
Hatton,,,,,,,,,,,,,,,,,
Hayden,91.91%,6.60%,0.64%,0.43%,,,0.43%,0.21%,"$31,484.00","$36,667.00","$30,667.00","$17,375.00","$14,435.00",10.70%,11.00%,6.90%,20.30%
Hayneville,13.42%,85.47%,,0.17%,,,0.93%,0.34%,"$19,554.00","$22,788.00","$22,396.00","$20,417.00","$9,556.00",35.20%,35.80%,42.30%,28.10%
Hazel Green,88.90%,5.90%,1.50%,0.40%,0.10%,0.70%,2.40%,2.30%,"$48,822.00","$60,588.00","$42,981.00","$30,990.00","$23,693.00",10.80%,13.60%,16.40%,7.40%
Headland,70.10%,27.50%,0.40%,0.30%,,0.60%,1.20%,1.40%,"$45,813.00","$50,120.00","$37,025.00","$30,734.00","$20,304.00",13.60%,12.10%,8.70%,20.70%
Heath,88.35%,9.24%,0.40%,,,2.01%,,3.21%,"$19,375.00","$35,833.00","$24,583.00","$15,893.00","$14,325.00",11.30%,17.10%,22.40%,20.80%
Heflin,87.30%,9.40%,0.50%,0.10%,,1.00%,1.60%,2.40%,"$29,821.00","$37,050.00","$41,932.00","$25,714.00","$16,909.00",15.60%,22.00%,29.50%,15.90%
Helena,82.50%,13.10%,0.20%,0.65%,1.10%,0.35%,0.52%,3.30%,"$62,908.00","$66,250.00","$45,291.00","$32,431.00","$26,323.00",1.40%,2.20%,4.20%,0.00%
Henagar,96.20%,,1.80%,0.00%,0.00%,0.30%,1.60%,1.40%,"$32,130.00","$39,432.00","$40,227.00","$24,122.00","$21,701.00",17.90%,19.80%,32.50%,13.60%
Higdon,95.50%,0.20%,,,,,2.10%,0.90%,,,,,"$14,341.00",,7.10%,,
Highland Home,,,,,,,,,,,,,,,,,
Highland Lake,97.30%,0.25%,1.23%,0.74%,,,0.49%,0.74%,"$43,229.00","$48,750.00","$34,750.00","$28,333.00","$25,829.00",0.00%,3.50%,0.00%,5.40%
Highland Lakes,,,,,,,,,,,,,,,,,
Hillsboro,14.64%,82.24%,1.81%,,,0.16%,1.15%,0.99%,"$40,714.00","$52,000.00","$26,979.00","$22,083.00","$14,457.00",3.90%,7.40%,5.90%,22.90%
Hissop,,,,,,,,,,,,,,,,,
Hobson City,6.15%,92.71%,,,,0.23%,0.91%,0.57%,"$17,589.00","$20,368.00","$21,667.00","$19,583.00","$8,992.00",30.70%,30.20%,42.70%,15.50%
Hobson,,,,,,,,,,,,,,,,,
Hodges,100.00%,,,,,,,,"$33,750.00","$38,333.00","$35,625.00","$17,500.00","$25,239.00",14.00%,13.40%,12.30%,18.20%
Hokes Bluff,98.50%,0.30%,0.10%,0.40%,,0.10%,0.50%,0.20%,"$54,668.00","$67,857.00","$47,424.00","$34,288.00","$26,375.00",1.60%,4.10%,10.30%,1.90%
Hollins,,,,,,,,,,,,,,,,,
Hollis Crossroads,,,,,,,,,,,,,,,,,
Holly Pond,97.67%,,0.47%,0.16%,,1.40%,0.31%,3.41%,"$28,182.00","$31,875.00","$27,708.00","$19,432.00","$13,466.00",12.20%,19.50%,26.90%,29.80%
Hollywood,80.63%,16.32%,0.32%,,,0.11%,2.63%,0.42%,"$27,500.00","$34,306.00","$26,667.00","$21,563.00","$16,498.00",6.80%,11.20%,9.90%,10.60%
Holt,39.40%,55.20%,0.40%,0.20%,,3.20%,1.60%,7.20%,"$28,750.00","$32,731.00","$23,517.00","$21,186.00","$13,964.00",24.70%,31.90%,56.70%,19.00%
Holtville,,,,,,,,,,,,,,,,,
Holy Trinity,,,,,,,,,,,,,,,,,
Homewood,69.70%,17.30%,0.20%,2.20%,0.00%,5.00%,1.40%,7.30%,"$57,215.00","$78,252.00","$50,163.00","$41,023.00","$30,601.00",5.10%,10.10%,6.90%,5.60%
Hoods Crossroads,,,,,,,,,,,,,,,,,
Hoover,75.10%,14.80%,0.20%,5.10%,0.00%,3.20%,1.50%,6.00%,"$72,960.00","$94,066.00","$65,023.00","$44,525.00","$39,141.00",3.40%,5.60%,6.60%,3.50%
Hope Hull,,,,,,,,,,,,,,,,,
Horn Hill,97.02%,1.70%,1.28%,,,,,0.43%,"$25,313.00","$36,667.00","$26,964.00","$17,031.00","$12,898.00",21.00%,22.40%,23.60%,31.80%
Houston,,,,,,,,,,,,,,,,,
Hueytown,70.00%,27.20%,0.30%,0.50%,,1.10%,1.00%,2.00%,"$41,225.00","$49,380.00","$36,087.00","$26,025.00","$19,735.00",5.30%,6.80%,5.20%,9.20%
Huguley,73.00%,25.00%,0.60%,0.20%,,0.40%,0.70%,1.20%,"$32,697.00","$46,813.00","$33,938.00","$35,461.00","$17,886.00",9.90%,10.70%,9.90%,13.30%
Hulaco,,,,,,,,,,,,,,,,,
Huntsville,60.30%,31.20%,0.60%,2.40%,0.10%,2.90%,2.50%,5.80%,"$41,074.00","$52,202.00","$40,003.00","$26,085.00","$24,015.00",,12.80%,18.70%,9.00%
Hurtsboro,29.39%,70.27%,,,,,0.34%,0.17%,"$16,691.00","$25,000.00","$26,979.00","$19,821.00","$16,908.00",28.40%,32.80%,46.30%,28.50%
Hytop,96.19%,,1.27%,,,,2.54%,0.32%,"$34,306.00","$34,821.00","$29,107.00","$19,286.00","$15,093.00",0.00%,0.00%,0.00%,0.00%
Ider,93.20%,0.60%,4.00%,,,0.10%,2.10%,0.10%,"$27,563.00","$36,146.00","$30,139.00","$21,875.00","$15,040.00",13.60%,19.70%,18.50%,18.60%
Indian Springs Village,95.70%,1.50%,0.20%,1.90%,0.00%,,0.60%,0.90%,"$95,921.00","$100,600.00","$71,917.00","$47,454.00","$58,467.00",3.10%,2.10%,0.00%,6.20%
"Inverness, Bullock County",,,,,,,,,,,,,,,,,
"Inverness, Shelby County",,,,,,,,,,,,,,,,,
Irondale,56.33%,35.38%,,1.43%,,,,7.78%,,,,,,,,,
Irvington,,,,,,,,,,,,,,,,,
Ivalee,,,,,,,,,,,,,,,,,
Jack,,,,,,,,,,,,,,,,,
Jackson,54.90%,42.90%,0.70%,0.40%,,0.30%,0.80%,1.40%,"$32,917.00","$46,328.00","$54,688.00","$29,483.00","$21,822.00",21.90%,29.00%,37.40%,18.30%
Jackson%27s Gap,69.65%,29.04%,0.39%,0.26%,,,0.66%,0.39%,"$23,027.00","$28,335.00","$23,679.00","$18,185.00","$14,712.00",15.90%,25.60%,28.80%,33.30%
Jacksonville,68.70%,26.80%,0.50%,1.30%,0.20%,0.60%,1.90%,2.30%,"$33,987.00","$50,863.00","$35,615.00","$26,975.00","$17,063.00",17.60%,28.40%,29.10%,11.60%
