City,2010_White,2010_Black,2010_Native,2010_Asian,2010_PacIsle,2010_Other,2010_Mixed,2010_HispLat,2010_HH_Inc,2010_Fam_Inc,2010_Male_Inc,2010_Female_Inc,2010_PerCap_Inc,2010_Fam_Pov,2010_Pop_Pov,2010_Child_Pov,2010_Senior_Pov
Jasper,81.30%,13.40%,0.30%,0.70%,0.20%,,,,"$33,044.00","$43,674.00","$35,182.00","$22,868.00","$19,491.00",10.20%,13.80%,18.30%,13.20%
Java,,,,,,,,,,,,,,,,,
Jemison,77.80%,17.70%,0.10%,0.10%,,3.10%,1.00%,7.00%,"$40,735.00","$49,091.00","$45,082.00","$31,588.00","$17,300.00",12.80%,15.80%,23.40%,6.30%
Joppa,,,,,,,,,,,,,,,,,
Kansas,99.23%,,,0.38%,,,0.38%,,"$23,021.00","$24,167.00","$25,000.00","$21,750.00","$13,416.00",16.30%,16.40%,21.20%,21.60%
Kellerman,,,,,,,,,,,,,,,,,
Kellyton,,,,,,,,,,,,,,,,,
Kennedy,85.40%,13.68%,0.55%,,,,0.37%,0.18%,"$24,750.00","$30,909.00","$30,278.00","$19,250.00","$12,447.00",14.30%,16.00%,23.30%,17.40%
Kent,,,,,,,,,,,,,,,,,
Killen,94.00%,3.20%,,0.50%,,1.20%,1.00%,2.40%,"$48,039.00","$63,182.00","$46,563.00","$34,038.00","$24,209.00",6.30%,10.20%,12.50%,11.90%
Kimberly,96.20%,1.80%,0.40%,0.60%,,0.30%,0.70%,0.80%,"$46,343.00","$52,109.00","$36,977.00","$29,150.00","$17,055.00",6.70%,7.70%,9.60%,15.80%
Kimbrough,,,,,,,,,,,,,,,,,
Kinsey,49.90%,46.00%,,0.10%,0.00%,2.10%,1.50%,4.00%,"$33,516.00","$34,643.00","$29,429.00","$22,339.00","$17,145.00",20.30%,23.30%,40.20%,10.70%
Kinston,93.52%,0.17%,1.16%,0.17%,,,4.98%,0.33%,"$30,875.00","$36,250.00","$24,750.00","$16,838.00","$14,738.00",10.10%,17.60%,21.50%,22.90%
Knoxville,,,,,,,,,,,,,,,,,
Lacey%27s Spring,,,,,,,,,,,,,,,,,
Lacon,,,,,,,,,,,,,,,,,
Ladonia,86.50%,9.80%,0.70%,0.30%,,1.20%,1.50%,2.70%,"$36,333.00","$34,889.00","$42,667.00","$27,075.00","$15,479.00",19.20%,23.50%,19.20%,14.60%
LaFayette,29.30%,68.80%,0.10%,0.40%,,0.80%,0.70%,1.90%,"$26,319.00","$31,629.00","$31,842.00","$27,833.00","$12,149.00",28.50%,36.20%,43.20%,22.90%
Lake View,93.90%,4.20%,0.10%,0.70%,,,0.90%,0.60%,"$77,750.00","$81,250.00","$53,646.00","$37,109.00","$28,334.00",0.00%,2.40%,0.00%,0.00%
Lakeview,95.09%,,3.68%,,,,1.23%,,"$36,250.00","$41,875.00","$30,250.00","$13,500.00","$35,714.00",5.90%,11.10%,16.70%,8.30%
Lanett,39.30%,57.50%,0.20%,0.10%,,1.40%,1.50%,2.40%,"$25,220.00","$27,487.00","$32,386.00","$24,794.00","$14,178.00",22.70%,28.70%,48.00%,16.80%
Langston,94.09%,3.15%,2.76%,,,,,,"$33,333.00","$42,344.00","$26,750.00","$29,375.00","$16,266.00",2.70%,6.70%,0.00%,13.90%
Le Moyne,,,,,,,,,,,,,,,,,
Leeds,78.70%,14.30%,0.40%,0.60%,0.10%,,2.00%,6.60%,"$44,149.00",,,,"$22,716.00",,14.60%,,
Leesburg,96.50%,,0.00%,0.00%,,0.50%,1.90%,1.30%,"$36,806.00","$45,714.00","$32,075.00","$26,793.00","$18,392.00",12.50%,15.60%,18.20%,12.20%
Leighton,44.41%,55.12%,0.47%,,,,,0.94%,"$20,500.00","$28,036.00","$27,625.00","$18,393.00","$12,680.00",22.70%,26.50%,34.50%,25.40%
Lenox,,,,,,,,,,,,,,,,,
Leroy,,,,,,,,,,,,,,,,,
Lester,100.00%,,,,,,,,"$37,083.00","$44,688.00","$31,250.00","$14,643.00","$16,073.00",0.00%,7.00%,0.00%,22.20%
Letohatchee,,,,,,,,,,,,,,,,,
Level Plains,90.86%,9.42%,1.00%,0.56%,,1.36%,2.91%,3.04%,"$38,269.00","$44,432.00","$33,182.00","$20,313.00","$17,423.00",8.90%,9.20%,8.10%,16.70%
Lexington,99.29%,,0.24%,,,,0.48%,0.36%,"$31,736.00","$38,500.00","$35,083.00","$17,422.00","$15,184.00",5.90%,9.80%,5.50%,18.70%
Libertyville,91.51%,,,3.77%,,,4.72%,0.94%,"$19,750.00","$37,500.00","$17,917.00","$19,250.00","$26,427.00",16.70%,20.70%,28.60%,28.60%
Lillian,,,,,,,,,,,,,,,,,
Lincoln,73.30%,23.40%,0.50%,0.40%,,1.00%,1.40%,1.90%,"$36,919.00","$42,139.00","$36,991.00","$21,804.00","$19,123.00",11.10%,14.30%,22.40%,16.70%
Linden,51.10%,46.70%,0.10%,0.20%,,,0.90%,2.00%,"$20,145.00","$35,714.00","$30,833.00","$25,000.00","$14,701.00",31.10%,31.80%,41.10%,8.70%
Lineville,58.60%,36.90%,0.30%,0.20%,0.00%,1.50%,2.60%,4.60%,"$22,778.00","$35,179.00","$31,639.00","$26,964.00","$16,952.00",30.10%,28.20%,36.60%,6.70%
Lipscomb,22.00%,61.00%,1.10%,0.00%,0.00%,15.00%,0.90%,19.70%,"$27,600.00","$45,000.00","$32,261.00","$19,965.00","$16,892.00",13.50%,15.10%,19.90%,22.40%
Lisman,7.20%,91.42%,,,,,1.38%,0.15%,"$20,333.00","$22,750.00","$31,719.00","$14,375.00","$11,295.00",36.40%,36.70%,40.70%,37.90%
Littleville,98.57%,,0.51%,,,,0.92%,0.82%,"$32,583.00","$35,913.00","$31,852.00","$21,250.00","$14,372.00",11.10%,13.10%,14.20%,16.10%
Livingston,34.40%,63.80%,0.10%,0.30%,0.10%,,0.60%,0.70%,"$13,516.00","$22,500.00","$31,838.00","$20,833.00","$11,640.00",39.40%,46.10%,53.40%,26.00%
Loachapoka,38.18%,61.21%,,0.61%,,,,0.61%,"$30,938.00","$33,571.00","$28,750.00","$28,500.00","$14,477.00",9.50%,16.30%,18.50%,20.00%
Lockhart,74.82%,23.91%,0.36%,,0.36%,,0.55%,2.19%,"$23,281.00","$29,688.00","$20,625.00","$18,750.00","$14,338.00",17.50%,25.50%,32.40%,22.50%
Locust Fork,97.00%,,0.80%,,,1.00%,0.60%,2.40%,"$55,313.00","$59,167.00","$41,776.00","$40,114.00","$21,356.00",9.20%,11.40%,20.30%,14.10%
Lookout Mountain,,,,,,,,,,,,,,,,,
Louisville,52.94%,40.69%,0.65%,,,5.23%,0.49%,6.37%,"$20,859.00","$27,014.00","$27,500.00","$24,583.00","$13,151.00",22.40%,28.00%,22.00%,34.80%
Lower Peach Tree,,,,,,,,,,,,,,,,,
Lowndesboro,71.43%,25.00%,,,,1.43%,2.14%,3.57%,"$27,917.00","$35,833.00","$23,750.00","$41,250.00","$17,101.00",16.00%,29.70%,39.40%,38.60%
Loxley,84.40%,9.40%,0.70%,0.60%,,3.40%,1.50%,5.10%,"$32,803.00","$36,042.00","$36,563.00","$27,566.00","$19,796.00",16.70%,20.80%,34.60%,13.10%
Luverne,62.60%,29.60%,0.30%,5.50%,0.30%,0.80%,1.00%,1.90%,"$40,602.00","$51,500.00","$43,464.00","$19,483.00","$18,869.00",12.60%,15.80%,11.80%,20.60%
Lynn,98.32%,0.17%,0.17%,0.17%,0.17%,,1.01%,,"$26,125.00","$32,955.00","$30,357.00","$24,375.00","$18,932.00",13.20%,21.50%,28.50%,26.50%
Macedonia,6.53%,91.75%,0.69%,,,,1.03%,,"$23,958.00","$29,688.00","$26,042.00","$16,875.00","$9,456.00",30.60%,33.30%,40.20%,58.80%
Madison,74.00%,14.60%,0.50%,7.00%,0.10%,1.30%,2.60%,4.60%,"$92,136.00","$111,217.00",,,"$41,490.00",3.90%,4.90%,5.90%,3.40%
Madrid,82.84%,16.17%,,0.33%,,,0.66%,,"$14,943.00","$21,563.00","$25,000.00","$16,563.00","$10,409.00",18.10%,30.90%,31.60%,51.50%
Magnolia Springs,,,,,,,,,,,,,,,,,
Majestic,,,,,,,,,,,,,,,,,
Malcolm,,,,,,,,,,,,,,,,,
Malvern,91.20%,4.80%,0.70%,0.10%,,1.70%,1.50%,4.80%,"$42,930.00","$41,793.00","$40,875.00","$35,486.00","$21,417.00",9.60%,11.10%,13.80%,6.90%
Maplesville,69.94%,29.61%,0.45%,,,,,0.89%,"$27,500.00","$36,250.00","$31,042.00","$22,361.00","$12,777.00",12.60%,20.10%,26.70%,16.00%
Marbury,,,,,,,,,,,,,,,,,
Margaret,77.30%,19.30%,,0.80%,,0.80%,1.50%,,"$52,111.00","$52,463.00","$41,941.00","$34,242.00","$19,984.00",3.30%,6.20%,1.60%,14.00%
Marion Junction,,,,,,,,,,,,,,,,,
Marion,32.90%,63.90%,0.26%,0.09%,0.09%,0.26%,0.60%,1.90%,"$24,142.00","$29,663.00","$27,422.00","$20,240.00","$11,934.00",28.40%,33.40%,51.30%,15.10%
Marvyn,,,,,,,,,,,,,,,,,
Masseyline,,,,,,,,,,,,,,,,,
Maytown,79.31%,19.08%,0.69%,0.23%,,,0.69%,,"$42,083.00","$44,038.00","$31,250.00","$22,250.00","$15,125.00",7.90%,10.00%,15.10%,12.70%
McCalla,,,,,,,,,,,,,,,,,
McDonald Chapel,66.60%,29.60%,0.09%,2.66%,,0.38%,0.66%,0.57%,"$26,188.00","$31,875.00","$30,238.00","$22,917.00","$13,411.00",6.80%,10.30%,33.80%,0.00%
McIntosh,1.33%,43.03%,55.23%,,,,0.41%,0.41%,"$28,214.00","$39,167.00","$31,429.00","$22,750.00","$14,023.00",10.00%,13.50%,22.20%,9.10%
McKenzie,76.09%,22.52%,0.47%,0.16%,,,0.78%,0.31%,"$18,173.00","$24,423.00","$23,077.00","$16,071.00","$10,359.00",21.10%,27.50%,34.30%,33.30%
McMullen,10.00%,60.00%,,,,30.00%,,30.00%,"$30,000.00","$33,500.00","$21,250.00","$16,250.00","$10,458.00",8.30%,13.40%,10.00%,4.30%
Meadowbrook,92.80%,3.90%,0.10%,2.10%,,0.30%,0.80%,1.60%,"$98,862.00","$103,602.00","$83,039.00","$52,460.00","$40,393.00",1.30%,1.40%,1.20%,0.00%
Megargel,,,,,,,,,,,,,,,,,
Mellow Valley,,,,,,,,,,,,,,,,,
Memphis,,100.00%,,,,,,,,,,,,,,,
Mentone,95.34%,1.11%,0.67%,,,,2.88%,0.22%,"$24,625.00","$28,750.00","$27,411.00","$17,656.00","$13,561.00",13.50%,12.20%,10.00%,14.00%
Meridianville,76.30%,18.50%,0.70%,1.70%,0.20%,0.70%,2.00%,2.70%,"$68,864.00","$76,449.00","$55,956.00","$36,100.00","$26,834.00",2.40%,5.80%,5.80%,6.40%
Midfield,16.40%,81.60%,0.10%,0.20%,0.00%,0.70%,0.90%,1.40%,"$37,138.00","$46,444.00","$39,420.00","$28,648.00","$16,496.00",15.60%,15.90%,21.90%,12.10%
Midland City,70.40%,23.30%,0.50%,0.40%,,1.70%,3.70%,4.10%,"$29,591.00","$39,071.00","$33,305.00","$23,897.00","$16,283.00",26.70%,27.00%,36.90%,11.00%
Midway,11.16%,88.84%,,,,,,0.22%,"$12,143.00","$19,063.00","$25,938.00","$18,750.00","$9,036.00",38.10%,42.50%,52.40%,45.00%
Mignon,64.90%,27.10%,0.10%,0.50%,,,2.30%,6.90%,"$30,682.00","$35,302.00","$36,075.00","$13,750.00","$15,782.00",18.30%,22.40%,25.80%,20.60%
Millbrook,74.20%,21.60%,0.40%,0.80%,0.05%,1.00%,2.00%,2.80%,"$43,838.00","$47,004.00","$34,893.00","$23,998.00","$17,189.00",7.40%,8.90%,13.30%,5.70%
Millers Ferry,,,,,,,,,,,,,,,,,
Millerville,,,,,,,,,,,,,,,,,
Millport,64.70%,33.70%,0.10%,,,,1.30%,,"$23,722.00","$24,597.00","$34,125.00","$22,153.00","$15,309.00",18.50%,21.80%,31.70%,7.50%
Millry,63.41%,35.45%,0.81%,,,,0.33%,0.65%,"$24,886.00","$32,500.00","$36,667.00","$17,917.00","$14,782.00",17.70%,21.20%,21.10%,29.20%
Minor,77.60%,20.90%,0.30%,0.00%,,,0.50%,1.50%,"$49,583.00","$57,955.00","$38,438.00","$27,011.00","$24,406.00",16.00%,18.30%,18.30%,0.00%
Mobile,45.00%,50.60%,0.30%,1.80%,0.00%,0.90%,1.40%,2.40%,"$37,056.00",,,,"$22,401.00",,,,
Mon Louis,,,,,,,,,,,,,,,,,
Monroeville,55.70%,42.10%,0.30%,0.30%,,0.30%,1.20%,0.80%,"$31,593.00","$49,548.00","$41,324.00","$31,033.00","$20,553.00",23.30%,27.70%,37.30%,19.00%
Montevallo,70.20%,24.60%,0.30%,0.60%,0.00%,2.50%,1.80%,5.70%,"$40,417.00","$75,500.00","$53,125.00","$31,361.00","$19,741.00",11.80%,20.90%,23.60%,7.50%
Montgomery,37.30%,56.60%,0.20%,2.20%,0.10%,2.20%,1.30%,3.90%,"$41,380.00","$53,125.00","$40,255.00","$33,552.00","$23,139.00",18.20%,21.60%,34.80%,8.40%
Montrose,,,,,,,,,,,,,,,,,
Moody,94.09%,3.81%,0.42%,0.22%,,0.37%,1.08%,1.09%,"$39,500.00","$43,767.00","$38,150.00","$26,089.00","$18,208.00",12.00%,12.60%,13.90%,12.20%
Moores Mill,70.90%,22.60%,1.10%,1.50%,0.10%,0.90%,2.80%,2.40%,"$67,449.00","$79,010.00","$47,981.00","$40,257.00","$30,155.00",6.80%,10.10%,13.60%,9.50%
Mooresville,88.14%,11.86%,,,,,,,"$54,167.00","$136,039.00","$51,667.00","$65,417.00","$51,694.00",0.00%,4.30%,,3.33%
Morgan City,,,,,,,,,,,,,,,,,
Morris,97.70%,1.00%,0.10%,0.30%,,0.50%,0.40%,1.10%,"$61,188.00","$68,333.00","$48,125.00","$38,611.00","$27,390.00",2.60%,3.40%,3.30%,2.50%
Morrison Crossroads,,,,,,,,,,,,,,,,,
Mosses,1.50%,97.90%,0.00%,0.00%,,,0.10%,1.80%,"$13,750.00","$16,319.00","$19,583.00","$25,833.00","$8,053.00",53.40%,55.40%,65.10%,51.10%
Moulton Heights,,,,,,,,,,,,,,,,,
Moulton,78.20%,13.10%,4.10%,0.40%,,0.20%,4.10%,1.60%,"$32,639.00","$49,243.00","$52,279.00","$30,000.00","$20,696.00",8.30%,15.80%,23.90%,15.20%
Moundville,56.20%,40.40%,0.70%,0.70%,,0.60%,1.40%,1.80%,"$43,083.00","$55,821.00","$50,893.00","$29,375.00","$17,574.00",14.50%,17.00%,13.00%,24.10%
Mount High,,,,,,,,,,,,,,,,,
Mount Hope,,,,,,,,,,,,,,,,,
Mount Meigs,,,,,,,,,,,,,,,,,
"Mount Olive, Coosa County",,,,,,,,,,,,,,,,,
"Mount Olive, Jefferson County",97.70%,1.00%,0.20%,0.30%,,,0.50%,0.50%,"$63,942.00","$81,477.00","$51,035.00","$34,426.00","$28,151.00",4.50%,6.20%,8.50%,0.00%
Mount Vernon,23.40%,73.60%,1.70%,,,0.10%,1.10%,0.70%,"$34,722.00","$46,111.00","$41,250.00","$23,625.00","$13,790.00",2.70%,26.50%,1.70%,18.90%
Mountain Brook,97.20%,1.00%,0.10%,0.90%,0.00%,0.20%,0.60%,1.00%,"$130,721.00","$164,750.00","$124,224.00","$54,420.00","$76,763.00",1.80%,3.70%,2.10%,2.50%
Mountain Creek,,,,,,,,,,,,,,,,,
Movico,,,,,,,,,,,,,,,,,
Mulga,85.10%,13.16%,0.62%,0.31%,,,0.82%,0.10%,"$36,500.00","$41,382.00","$31,438.00","$23,750.00","$16,622.00",8.60%,10.80%,13.50%,14.00%
Munford,82.40%,15.60%,0.50%,,,0.10%,1.30%,1.00%,"$46,875.00","$50,278.00","$28,558.00","$25,809.00","$20,964.00",24.50%,19.90%,32.80%,5.80%
Muscle Shoals,80.60%,15.30%,0.30%,0.90%,1.60%,1.30%,,2.70%,"$48,134.00","$60,875.00","$41,061.00","$37,576.00","$23,237.00",8.30%,10.60%,19.90%,4.80%
Myrtlewood,79.14%,20.86%,,,,,,0.72%,"$42,188.00","$50,114.00","$51,667.00","$31,250.00","$21,262.00",4.80%,7.30%,7.10%,13.00%
Nanafalia,57.40%,40.40%,,,,,2.10%,,,,,,,,,,
Nances Creek,,,,,,,,,,,,,,,,,
Napier Field,85.40%,11.39%,0.25%,,,0.74%,2.23%,2.72%,"$27,868.00","$45,179.00","$29,375.00","$19,583.00","$18,769.00",6.20%,11.80%,18.40%,12.30%
Natural Bridge,100.00%,,,,,,,,"$11,875.00","$10,625.00","$21,250.00","$13,750.00","$4,619.00",63.60%,62.20%,66.70%,71.40%
Nauvoo,98.24%,,,,,1.06%,0.70%,1.76%,"$22,274.00","$29,167.00","$24,375.00","$16,875.00","$11,066.00",20.70%,24.40%,35.10%,22.20%
Nectar,97.31%,,,,,1.88%,0.81%,2.69%,"$44,167.00","$49,250.00","$31,563.00","$24,583.00","$16,408.00",14.00%,11.50%,18.00%,13.20%
Needham,100.00%,,,,,,,,"$38,750.00","$42,083.00","$35,417.00","$21,250.00","$16,764.00",12.10%,11.60%,0.00%,11.10%
New Brockton,70.10%,21.00%,5.50%,,,0.20%,2.70%,2.50%,"$33,125.00","$38,300.00","$36,500.00","$18,594.00",,,,,
New Hope,93.70%,0.20%,2.50%,0.30%,,0.70%,2.50%,1.40%,"$38,423.00","$47,396.00","$33,135.00","$24,167.00","$19,104.00",5.70%,11.50%,15.30%,9.80%
New Market,88.50%,6.70%,1.40%,0.20%,,1.90%,1.30%,4.40%,"$42,857.00","$51,250.00","$36,250.00","$27,068.00","$22,043.00",11.90%,14.60%,35.30%,21.10%
New Site,89.27%,9.79%,0.59%,,,0.24%,0.12%,0.47%,"$29,167.00","$37,396.00","$25,977.00","$20,109.00","$14,113.00",13.30%,17.60%,23.70%,15.90%
New Union,,,,,,,,,,,,,,,,,
Newbern,22.94%,77.06%,,,,,,,"$20,682.00","$31,042.00","$25,625.00","$11,875.00","$9,476.00",17.50%,31.40%,40.00%,33.30%
Newell,,,,,,,,,,,,,,,,,
Newton,83.60%,13.00%,0.70%,0.50%,0.20%,0.00%,2.10%,1.50%,"$33,750.00","$47,019.00","$43,021.00","$30,368.00","$21,781.00",9.20%,14.40%,22.80%,5.70%
Newville,52.80%,44.30%,,,,2.71%,0.18%,2.35%,"$27,596.00","$31,375.00","$25,714.00","$21,250.00","$13,890.00",8.90%,14.90%,16.40%,20.20%
Normal,,,,,,,,,,,,,,,,,
North Courtland,2.38%,97.50%,0.13%,,,,,0.75%,"$19,875.00","$26,250.00","$25,938.00","$21,058.00","$12,776.00",19.80%,28.10%,32.60%,45.80%
North Johns,40.14%,59.15%,0.70%,,,,,,"$23,750.00","$33,750.00","$35,375.00","$7,083.00","$8,149.00",23.10%,31.20%,47.60%,60.70%
Northport,68.40%,26.90%,0.30%,1.10%,0.30%,2.00%,1.10%,4.10%,"$49,167.00","$68,017.00","$51,660.00","$36,566.00","$23,571.00",8.00%,15.40%,14.40%,9.90%
Notasulga,66.27%,32.42%,0.22%,,,0.55%,0.55%,0.76%,"$31,307.00","$34,479.00","$27,500.00","$18,684.00","$17,115.00",10.70%,17.80%,20.80%,11.20%
Oak Grove,96.72%,2.84%,0.44%,,,,,0.44%,"$28,625.00","$29,625.00","$29,417.00","$19,375.00","$12,865.00",10.40%,15.70%,21.00%,21.80%
Oak Grove,,,,,,,,,,,,,,,,,
Oak Hill,35.14%,64.86%,,,,,,,"$31,250.00","$31,250.00","$33,750.00",$0.00,"$7,659.00",0.00%,0.00%,0.00%,0.00%
Oakman,79.66%,19.60%,,,,,0.74%,0.74%,"$22,014.00","$31,964.00","$25,221.00","$17,321.00","$11,936.00",17.40%,20.20%,22.60%,26.10%
Oakville,,,,,,,,,,,,,,,,,
Odenville,94.20%,2.30%,0.30%,,,1.10%,1.50%,2.10%,"$53,936.00","$61,646.00","$45,652.00","$31,875.00","$22,464.00",5.50%,7.60%,5.40%,3.30%
Ohatchee,94.10%,3.20%,0.60%,0.00%,,,2.10%,0.60%,"$55,769.00","$62,266.00","$50,817.00","$26,563.00","$23,041.00",3.40%,4.60%,1.60%,8.10%
Oneonta,84.10%,6.00%,0.50%,0.50%,,7.60%,1.30%,15.90%,"$40,192.00","$50,236.00","$41,425.00","$22,160.00","$18,951.00",13.00%,17.90%,27.20%,16.40%
Onycha,99.04%,,0.96%,,,,,0.48%,"$17,500.00","$29,688.00","$29,375.00","$12,143.00","$12,530.00",11.50%,15.90%,18.90%,8.10%
Opelika,50.60%,43.50%,,1.70%,,,1.30%,4.40%,"$35,243.00","$47,864.00",,,,,,,
Opp,80.90%,16.70%,0.60%,0.30%,,,1.20%,0.90%,"$26,702.00","$32,436.00","$27,821.00","$21,280.00","$15,281.00",14.20%,18.20%,28.80%,15.80%
Orange Beach,94.30%,0.60%,0.70%,0.80%,,1.40%,2.20%,2.60%,"$66,656.00","$69,964.00","$54,806.00","$47,019.00","$40,153.00",1.20%,3.00%,0.00%,2.80%
Orion,,,,,,,,,,,,,,,,,
Orrville,51.30%,48.26%,,,,,0.43%,0.43%,"$28,571.00","$31,719.00","$29,583.00","$30,000.00","$15,418.00",9.90%,15.70%,0.00%,22.20%
Our Town,,,,,,,,,,,,,,,,,
Owens Cross Roads,91.50%,3.60%,1.00%,0.30%,,0.60%,3.00%,2.20%,"$40,625.00","$43,750.00","$43,889.00","$33,393.00","$21,542.00",23.60%,31.20%,60.90%,6.10%
Oxford,80.50%,12.60%,0.40%,1.10%,0.00%,3.90%,1.50%,6.60%,"$47,928.00","$53,612.00","$46,008.00","$30,231.00","$22,815.00",10.80%,13.40%,22.30%,7.40%
Ozark,64.80%,30.20%,0.70%,0.90%,0.00%,0.80%,2.60%,3.20%,"$41,079.00","$52,061.00","$41,513.00","$28,227.00","$22,103.00",13.60%,18.40%,27.20%,14.40%
Paint Rock,96.76%,,0.54%,,,,2.70%,,"$35,521.00","$36,875.00","$28,750.00","$16,719.00","$15,551.00",8.30%,10.80%,0.00%,0.00%
Palmerdale,,,,,,,,,,,,,,,,,
Panola,2.10%,97.90%,,,,,,,,,,,,,,,
Parrish,72.63%,25.32%,0.16%,0.16%,,0.63%,1.10%,0.95%,"$21,711.00","$26,193.00","$25,341.00","$16,900.00","$11,270.00",21.30%,24.20%,28.00%,26.80%
Pelham,81.20%,7.50%,0.30%,2.40%,,6.90%,1.60%,14.90%,"$67,622.00","$80,690.00","$56,277.00","$42,269.00","$30,467.00",3.80%,6.50%,9.10%,1.70%
Pell City,80.80%,15.60%,0.30%,0.80%,0.10%,1.10%,1.40%,2.30%,"$43,260.00",,,,,10.50%,10.70%,14.60%,9.40%
Pennington,64.31%,34.84%,0.28%,,,0.57%,,,"$32,917.00","$44,375.00","$33,438.00","$16,250.00","$14,022.00",13.70%,20.90%,21.80%,10.80%
Penton,,,,,,,,,,,,,,,,,
Perdido Beach,,,,,,,,,,,,,,,,,
Perote,,,,,,,,,,,,,,,,,
Peterman,,,,,,,,,,,,,,,,,
Peterson,,,,,,,,,,,,,,,,,
Petrey,95.24%,4.76%,,,,,,4.76%,"$34,583.00","$50,833.00","$26,500.00","$26,000.00","$20,659.00",0.00%,5.40%,0.00%,18.20%
Phenix City,48.70%,46.60%,0.30%,0.70%,0.20%,1.40%,2.20%,4.00%,"$33,120.00","$39,417.00","$36,827.00","$27,001.00","$18,883.00",20.30%,23.90%,39.70%,13.10%
Phil Campbell,95.20%,0.20%,0.40%,,,3.00%,1.20%,4.00%,"$24,886.00","$36,250.00","$25,625.00","$34,583.00","$14,174.00",23.30%,25.70%,26.10%,10.50%
Pickensville,36.20%,63.50%,0.30%,,,,,,"$25,357.00","$28,036.00","$25,625.00","$22,955.00","$15,575.00",29.20%,34.40%,43.60%,53.20%
Piedmont,87.00%,10.00%,0.50%,0.10%,0.00%,0.50%,1.90%,1.30%,"$31,589.00","$39,417.00","$36,332.00","$28,355.00","$17,573.00",21.10%,24.40%,39.00%,9.80%
Pike Road,68.50%,28.70%,0.10%,1.40%,,,,1.30%,,,,,,,,,
Pinckard,78.56%,17.84%,0.75%,0.15%,,,2.70%,3.15%,"$36,875.00","$41,176.00","$27,083.00","$18,036.00","$16,214.00",5.90%,7.10%,10.10%,14.50%
Pine Apple,62.76%,36.55%,,,,,0.69%,,"$35,625.00","$44,583.00","$29,583.00","$30,833.00","$16,876.00",7.70%,15.80%,35.90%,14.30%
Pine Hill,48.96%,49.90%,0.72%,0.10%,,,0.31%,0.10%,"$23,375.00","$32,813.00","$32,368.00","$17,396.00","$15,845.00",28.30%,30.90%,49.50%,21.00%
Pine Level,,,,,,,,,,,,,,,,,
Pine Ridge,76.20%,1.80%,,,0.40%,,1.40%,20.90%,"$28,250.00","$30,833.00","$22,404.00","$13,250.00","$14,237.00",15.30%,14.90%,16.40%,20.00%
Pinson,79.00%,17.00%,0.20%,0.40%,0.00%,2.20%,1.00%,3.70%,"$56,863.00","$63,221.00","$41,719.00","$36,066.00","$23,902.00",4.50%,5.70%,8.10%,3.20%
Pisgah,94.33%,0.14%,3.40%,,,,2.12%,0.28%,"$28,750.00","$36,250.00","$26,146.00","$17,917.00","$14,503.00",9.50%,10.40%,14.20%,15.00%
Plantersville,,,,,,,,,,,,,,,,,
Pleasant Grove,53.70%,44.80%,0.30%,0.20%,,0.20%,0.70%,0.60%,"$66,681.00","$72,341.00","$45,587.00","$40,830.00","$26,833.00",2.80%,2.00%,0.50%,2.60%
Pleasant Groves,89.04%,0.00%,5.37%,0.00%,0.00%,0.00%,5.59%,0.22%,"$33,854.00","$38,056.00","$31,705.00","$17,222.00","$14,251.00",5.80%,6.40%,4.00%,17.90%
Point Clear,56.13%,42.70%,0.16%,0.16%,,0.05%,0.80%,0.59%,"$37,305.00","$45,729.00","$39,844.00","$14,556.00","$26,271.00",16.10%,18.10%,30.20%,16.70%
