State,1789,1790,1792,1796,1800,1803,1810,1812,1816,1817,1818,1820,1830,1836,1837,1840,1845,1848,1850,1858,1860,1861,1863,1864,1867,1870,1876,1880,1889,1890,1896,1900,1907,1910,1912,1930,1940,1950,1959,1960,1970,1980,1990,2000,2010
AL,0,0,0,0,0,0,0,0,0,0,3,5,7,7,7,9,9,9,9,9,9,9,9,9,9,10,10,10,10,11,11,11,11,12,12,11,11,11,11,10,9,9,9,9,9
AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3
AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,4,5,6,7,8,10,11
AR,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,4,4,4,4,4,4,4,6,6,7,7,8,8,9,9,9,9,9,9,8,8,6,6,6,6,6,6
CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,5,5,5,5,6,6,8,8,9,9,10,10,13,13,22,25,32,32,40,45,47,54,55,55
CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,4,5,5,6,6,6,6,6,6,6,7,8,8,9,9
CT,7,9,9,9,9,9,9,9,9,9,9,8,8,8,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,8,8,8,8,8,8,8,8,7,7
DE,3,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
DC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3
FL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,5,5,6,6,7,8,10,10,14,17,21,25,27,29
GA,5,4,4,4,6,6,8,8,8,8,8,9,11,11,11,10,10,10,10,10,9,9,9,9,9,11,11,12,12,13,13,13,13,14,14,12,12,12,12,12,12,12,13,15,16
HI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,4
ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4
IL,0,0,0,0,0,0,0,0,0,0,3,3,5,5,5,9,9,9,11,11,16,16,16,16,16,21,21,22,22,24,24,27,27,29,29,29,28,27,27,26,26,24,22,21,20
IN,0,0,0,0,0,0,0,0,3,3,3,5,9,9,9,12,12,12,13,13,13,13,13,13,13,15,15,15,15,15,15,15,15,15,15,14,13,13,13,13,13,12,12,11,11
IA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,8,8,8,8,8,11,11,13,13,13,13,13,13,13,13,11,10,10,10,9,8,8,7,7,6
KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,5,5,8,8,10,10,10,10,10,10,9,8,8,8,7,7,7,6,6,6
KY,0,0,4,4,8,8,12,12,12,12,12,14,15,15,15,12,12,12,12,12,11,11,11,11,11,12,12,13,13,13,13,13,13,13,13,11,11,10,10,9,9,9,8,8,8
LA,0,0,0,0,0,0,0,3,3,3,3,5,5,5,5,6,6,6,6,6,7,7,7,7,7,8,8,8,8,8,8,9,9,10,10,10,10,10,10,10,10,10,9,9,8
ME,0,0,0,0,0,0,0,0,0,0,0,9,10,10,10,9,9,9,8,8,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,5,5,5,5,4,4,4,4,4,4
MD,6,8,8,8,11,11,11,11,11,11,11,11,10,10,10,8,8,8,8,8,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,9,9,10,10,10,10,10,10
MA,10,16,16,16,19,19,22,22,22,22,22,15,14,14,14,12,12,12,13,13,12,12,12,12,12,13,13,14,14,15,15,16,16,18,18,17,16,16,16,14,14,13,12,12,11
MI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,5,6,6,8,8,8,8,8,11,11,13,13,14,14,14,14,15,15,19,19,20,20,21,21,20,18,17,16
MN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,5,5,7,7,9,9,11,11,12,12,11,11,11,11,10,10,10,10,10,10
MS,0,0,0,0,0,0,0,0,0,3,3,3,4,4,4,6,6,6,7,7,,,,,,8,8,9,9,9,9,10,10,10,10,9,9,8,8,7,7,7,7,6,6
MO,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,7,7,7,9,9,11,11,11,11,11,15,15,16,16,17,17,18,18,18,18,15,15,13,13,12,12,11,11,11,10
MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3
NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,5,5,8,8,8,8,8,8,7,6,6,6,5,5,5,5,5,5
NV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,6
NH,5,6,6,6,7,7,8,8,8,8,8,8,7,7,7,6,6,6,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
NJ,6,7,7,7,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,9,9,9,9,10,10,12,12,14,14,16,16,16,16,17,17,16,15,15,14
NM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,4,4,5,5,5,5
NY,0,12,12,12,19,19,29,29,29,29,29,36,42,42,42,36,36,36,35,35,33,33,33,33,33,35,35,36,36,36,36,39,39,45,45,47,47,45,45,43,41,36,33,31,29
NC,0,12,12,12,14,14,15,15,15,15,15,15,15,15,15,11,11,11,10,10,9,9,9,9,9,10,10,11,11,11,11,12,12,12,12,13,14,14,14,13,13,13,14,15,15
ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,4,5,5,4,4,4,4,4,3,3,3,3,3
OH,0,0,0,0,0,3,7,7,7,7,7,16,21,21,21,23,23,23,23,23,21,21,21,21,21,22,22,23,23,23,23,23,23,24,24,26,25,25,25,26,25,23,21,20,18
OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,10,11,10,8,8,8,8,8,8,7,7
OR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,6,6,6,6,6,7,7,7,7
PA,10,15,15,15,20,20,25,25,25,25,25,28,30,30,30,26,26,26,27,27,26,26,26,26,26,29,29,30,30,32,32,34,34,38,38,36,35,32,32,29,27,25,23,21,20
RI,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4
SC,7,8,8,8,10,10,11,11,11,11,11,11,11,11,11,9,9,9,8,8,6,6,6,6,6,7,7,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,9
SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,5,5,4,4,4,4,4,4,3,3,3,3
TN,0,0,0,3,5,5,8,8,8,8,8,11,15,15,15,13,13,13,12,12,10,10,10,10,10,12,12,12,12,12,12,12,12,12,12,11,12,11,11,11,10,11,11,11,11
TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,,,,,,8,8,13,13,15,15,18,18,20,20,23,23,24,24,25,26,29,32,34,38
UT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,4,4,4,4,4,4,4,5,5,5,6
VT,0,3,3,3,6,6,8,8,8,8,8,7,7,7,7,6,6,6,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3
VA,10,21,21,21,24,24,25,25,25,25,25,24,23,23,23,17,17,17,15,15,,,,,,11,11,12,12,12,12,12,12,12,12,11,11,12,12,12,12,12,13,13,13
WA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,5,7,7,8,8,9,9,9,9,10,11,11,12
WV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,6,6,6,6,7,7,8,8,8,8,8,8,7,6,6,5,5,5
WI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,8,8,8,8,8,10,10,11,11,12,12,13,13,13,13,12,12,12,12,12,11,11,11,10,10
WY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3