"California Legislative Elections, 1986",,
California's 2nd Senate District – DEM Hold,,
Barry Keene (D-inc),115756,56.24%
"Richard ""Dick"" Brann (R)",84580,41.09%
Pamela Elizondo (PF),5497,2.67%
Total Votes,205833,100.00%
,,
California's 4th Senate District – GOP Hold,,
Jim Nielsen (R-inc),150060,64.46%
Franklin S. Cibula (D),82733,35.54%
Total Votes,232793,100.00%
,,
California's 6th Senate District – DEM Hold,,
Leroy F. Greene (D-inc),138571,60.42%
Sandy Smoley (R),90759,39.58%
Total Votes,229330,100.00%
,,
California's 8th Senate District – IND Gain,,
Quentin L. Kopp (I),81501,46.89%
Lou Papan (D),79117,45.52%
Russell Gray (R),13189,7.59%
Total Votes,173807,100.00%
,,
California's 10th Senate District – DEM Hold,,
Bill Lockyer (D),124290,71.24%
Bruce W. Bergondy (R),50179,28.76%
Total Votes,174469,100.00%
,,
California's 12th Senate District – DEM Hold,,
Dan McCorquodale (D-inc),90911,55.99%
Tom Legan (R),71464,44.01%
Total Votes,162375,100.00%
,,
California's 14th Senate District – GOP Hold,,
Ken Maddy (R-inc),112270,68.88%
Michael T. LeSage (D),50728,31.12%
Total Votes,162998,100.00%
,,
California's 16th Senate District – GOP Gain,,
Don Rogers (R),89942,51.99%
Jim Young (D),83065,48.01%
Total Votes,173007,100.00%
,,
California's 18th Senate District – DEM Hold,,
Gary K. Hart (D-inc),121661,64.99%
DeWayne Holmdahl (R),62659,33.47%
Jay C. Wood (L),2885,1.54%
Total Votes,187205,100.00%
,,
California's 20th Senate District – DEM Hold,,
Alan Robbins (D-inc),99174,65.33%
Lynn Robert Davis (R),52621,34.67%
Total Votes,151795,100.00%
,,
California's 22nd Senate District – DEM Hold,,
Herschel Rosenthal (D),146713,67.92%
Daniel Ward Sias (R),62841,29.09%
Joseph A. Russell (L),3670,1.70%
Abby Kirk (PF),2796,1.29%
Total Votes,216020,100.00%
,,
California's 24th Senate District – DEM Hold,,
Art Torres (D-inc),49601,72.15%
Lee David Prentiss (R),16761,24.38%
Laura G. Brown (L),2382,3.47%
Total Votes,68744,100.00%
,,
California's 26th Senate District – DEM Hold,,
Joseph B. Montoya (D-inc),96361,100.00%
,,
California's 28th Senate District – DEM Hold,,
Diane Watson (D-inc),124476,78.57%
Armand M. Vaquer (R),33960,21.43%
Total Votes,158436,100.00%
,,
California's 30th Senate District – DEM Hold,,
Ralph C. Dills (D-inc),80926,71.97%
Anthony Jay Gray (R),28289,25.16%
Lee H. Chauser (PF),3231,2.87%
Total Votes,112446,100.00%
,,
California's 32nd Senate District – GOP Hold,,
Edward R. Royce (R-inc),95505,65.78%
"Francis X. ""Frank"" Hoffman (D)",49681,34.22%
Total Votes,145186,100.00%
,,
California's 34th Senate District – DEM Hold,,
Ruben S. Ayala (D-inc),93410,65.86%
Steve Turner (R),48421,34.14%
Total Votes,141831,100.00%
,,
California's 36th Senate District – DEM Hold,,
Robert B. Presley (D-inc),115868,61.38%
Anne Richardson (R),72904,38.62%
Total Votes,188772,100.00%
,,
California's 38th Senate District – GOP Hold,,
William A. Craven (R-inc),181627,85.09%
Betsy A. Mill (L),31826,14.91%
Total Votes,213453,100.00%
,,
California's 40th Senate District – DEM Hold,,
Wadie P. Deddeh (D-inc),87999,69.45%
"William M. ""Bill"" Hoover (R)",36231,28.59%
William R. Beard (PF),2483,1.96%
Total Votes,126713,100.00%
,,
California's 1st Assembly District – GOP Hold,,
Stan Statham (R-inc),77595,71.32%
Arlie E. Caudle (D),31211,28.68%
Total Votes,108806,100.00%
,,
California's 2nd Assembly District – DEM Hold,,
"Daniel E. ""Dan"" Hauser (D-inc)",75030,67.48%
George A. Kennedy (R),36165,32.52%
Total Votes,111195,100.00%
,,
California's 3rd Assembly District – GOP Hold,,
Chris Chandler (R),58399,56.86%
Floyd Myers Marsh (D),44309,43.14%
Total Votes,102708,100.00%
,,
California's 4th Assembly District – DEM Hold,,
Thomas M. Hannigan (D-inc),72318,74.50%
Steven W. Hague (R),24759,25.50%
Total Votes,97077,100.00%
,,
California's 5th Assembly District – GOP Gain,,
Tim Leslie (R),68292,57.64%
Jack Dugan (D),46289,39.07%
Charles L. Carr (L),3905,3.30%
Total Votes,118486,100.00%
,,
California's 6th Assembly District – DEM Hold,,
Lloyd G. Connelly (D-inc),72017,66.57%
David W. Green (R),36167,33.43%
Total Votes,108184,100.00%
,,
California's 7th Assembly District – DEM Hold,,
Norman S. Waters (D-inc),82759,66.59%
Terry Holm (R),38490,30.97%
Robert W. Page (L),3024,2.43%
Total Votes,124273,100.00%
,,
California's 8th Assembly District – GOP Hold,,
Bev Hansen (R),73606,62.68%
Mary Jadiker (D),43831,37.32%
Total Votes,117437,100.00%
,,
California's 9th Assembly District – GOP Hold,,
"William J. ""Bill"" Filante (R-inc)",65154,54.89%
Joanna P. Willmann (D),53553,45.11%
Total Votes,118707,100.00%
,,
California's 10th Assembly District – DEM Hold,,
Phillip L. Isenberg (D-inc),71489,67.10%
Daryl Sullivan (R),35052,32.90%
Total Votes,106541,100.00%
,,
California's 11th Assembly District – DEM Hold,,
"Robert J. ""Bob"" Campbell (D)",63642,74.41%
Timothy DeWitt (R),21889,25.59%
Total Votes,85531,100.00%
,,
California's 12th Assembly District – DEM Hold,,
Tom Bates (D-inc),91581,72.11%
Jerald H. Udinsky (R),30721,24.19%
"William ""Bill"" McCord (L)",2812,2.21%
Emma Wong Mar (PF),1888,1.49%
Total Votes,127002,100.00%
,,
California's 13th Assembly District – DEM Hold,,
Elihu M. Harris (D-inc),59058,76.55%
David L. Norman (R),18095,23.45%
Total Votes,77153,100.00%
,,
California's 14th Assembly District – DEM Hold,,
Johan Klehs (D-inc),64373,73.50%
Curtis E. Jones (R),23206,26.50%
Total Votes,87579,100.00%
,,
California's 15th Assembly District – GOP Hold,,
"William P. ""Bill"" Baker (R-inc)",80500,67.47%
Wayne W. Bennett (D),38817,32.53%
Total Votes,119317,100.00%
,,
California's 16th Assembly District – DEM Hold,,
Art Agnos (D-inc),66498,84.76%
Max Woods (R),8973,11.44%
"Margaret ""Meg"" Weber (PF)",2983,3.80%
Total Votes,78454,100.00%
,,
California's 17th Assembly District – DEM Hold,,
Willie Brown (D-inc),71829,70.59%
Jeff Corino (R),25069,24.64%
Bonnie Hoy (L),4852,4.77%
Total Votes,101750,100.00%
,,
California's 18th Assembly District – DEM Hold,,
Delaine Eastin (D),43241,56.52%
Martin Leo Mehan (R),31068,40.61%
Charles F. Hanes (L),2197,2.87%
Total Votes,76506,100.00%
,,
California's 19th Assembly District – DEM Hold,,
Jackie Speier (D),56809,73.95%
Michael Rocco (R),20010,26.05%
Total Votes,76819,100.00%
,,
California's 20th Assembly District – GOP Hold,,
Bill Duplissea (R),56469,51.07%
Ed Bacciocco (D),54099,48.93%
Total Votes,110568,100.00%
,,
California's 21st Assembly District – DEM Hold,,
Byron D. Sher (D-inc),59042,69.83%
Robert E. Philips (R),21137,25.00%
Tom Grey (L),3319,3.93%
Frank DeSio (PF),1059,1.25%
Total Votes,84557,100.00%
,,
California's 22nd Assembly District – GOP Hold,,
Chuck Quackenbush (R),57684,55.17%
Brent N. Ventura (D),43902,41.99%
Dustin Baker (L),2976,2.85%
Total Votes,104562,100.00%
,,
California's 23rd Assembly District – DEM Hold,,
John Vasconcellos (D-inc),43116,67.65%
Lynn Knapp (R),18285,28.69%
Kennita Watson (L),1215,1.91%
Kerry Dean Williams (PF),1115,1.75%
Total Votes,63731,100.00%
,,
California's 24th Assembly District – DEM Hold,,
Dom Cortese (D-inc),49729,63.71%
Jack Sandoval (R),25720,32.95%
John H. Webster (L),2612,3.35%
Total Votes,78061,100.00%
,,
California's 25th Assembly District – DEM Hold,,
Rusty Areias (D-inc),50412,71.01%
Ben Gilmore (R),18941,26.68%
Mark Hinkle (L),1635,2.30%
Total Votes,70988,100.00%
,,
California's 26th Assembly District – DEM Hold,,
Patrick Johnston (D-inc),63386,74.10%
Doug Biggs (R),22152,25.90%
Total Votes,85538,100.00%
,,
California's 27th Assembly District – DEM Hold,,
Gary Condit (D-inc),58099,73.11%
"Gerald ""Jerry"" DeYoung (R)",20109,25.31%
Stephen L. Gerringer (L),1256,1.58%
Total Votes,79464,100.00%
,,
California's 28th Assembly District – DEM Hold,,
Sam Farr (D-inc),75112,72.13%
Jeff Bosshard (R),29025,27.87%
Total Votes,104137,100.00%
,,
California's 29th Assembly District – GOP Hold,,
Eric Seastrand (R-inc),71790,72.43%
"Robert B. ""Dugan"" Weber (D)",26017,26.25%
Jerry Steddum (L),1316,1.33%
Total Votes,99123,100.00%
,,
California's 30th Assembly District – DEM Hold,,
Jim Costa (D-inc),41271,67.29%
Blaine T. Anderson (R),20058,32.71%
Total Votes,61329,100.00%
,,
California's 31st Assembly District – DEM Hold,,
Bruce Bronzan (D-inc),55432,70.13%
Don Farrington (R),23611,29.87%
Total Votes,79043,100.00%
,,
California's 32nd Assembly District – GOP Hold,,
Bill Jones (R-inc),70825,100.00%
,,
California's 33rd Assembly District – GOP Hold,,
Trice Harvey (R),41197,50.70%
Tom Fallgatter (D),37650,46.33%
Craig S. Gifford (L),2412,2.97%
Total Votes,81259,100.00%
,,
California's 34th Assembly District – GOP Hold,,
Phil Wyman (R-inc),72220,70.18%
Richard Dearborn (D),30681,29.82%
Total Votes,102901,100.00%
,,
California's 35th Assembly District – DEM Hold,,
Jack O'Connell (D-inc),61423,65.50%
Mark Urdahl (R),30986,33.04%
Robert Bakhaus (L),1366,1.46%
Total Votes,93775,100.00%
,,
California's 36th Assembly District – GOP Hold,,
Tom McClintock (R-inc),77132,73.31%
Frank Nekimken (D),26208,24.91%
H. Bruce Driscoll (L),1875,1.78%
Total Votes,105215,100.00%
,,
California's 37th Assembly District – GOP Hold,,
Cathie M. Wright (R-inc),80477,74.63%
William P. Hesse (D),25736,23.86%
Gregory P. Dull (L),1627,1.51%
Total Votes,107840,100.00%
,,
California's 38th Assembly District – GOP Hold,,
Marian W. La Follette (R-inc),70174,67.65%
Mark Lit (D),33553,32.35%
Total Votes,103727,100.00%
,,
California's 39th Assembly District – DEM Hold,,
Richard Katz (D-inc),44009,60.46%
Robert F. Thoreson (R),28787,39.54%
Total Votes,72796,100.00%
,,
California's 40th Assembly District – DEM Hold,,
Tom Bane (D-inc),60811,72.64%
Brian K. Dennis (R),22899,27.36%
Total Votes,83710,100.00%
,,
California's 41st Assembly District – GOP Hold,,
Pat Nolan (R-inc),66408,66.90%
John Vollbrecht (D),29835,30.06%
Patricia Bennett (PF),3015,3.04%
Total Votes,99258,100.00%
,,
California's 42nd Assembly District – GOP Hold,,
Dick Mountjoy (R-inc),77047,100.00%
,,
California's 43rd Assembly District – DEM Hold,,
Terry B. Friedman (D),64218,59.74%
Marc Philip Schuyler (R),40697,37.86%
John Honigsfeld (PF),2580,2.40%
Total Votes,107495,100.00%
,,
California's 44th Assembly District – DEM Hold,,
Tom Hayden (D-inc),66022,58.83%
Gloria J. Stout (R),41843,37.29%
Neal Arvid Donner (L),2219,1.98%
Carol Berman (PF),2138,1.91%
Total Votes,112222,100.00%
,,
California's 45th Assembly District – DEM Hold,,
Burt M. Margolin (D-inc),61524,68.09%
Jana Olson (R),24284,26.87%
Sylvia F. Kushner (PF),3032,3.36%
Donald Meyer (L),1520,1.68%
Total Votes,90360,100.00%
,,
California's 46th Assembly District – DEM Hold,,
Mike Roos (D-inc),27682,70.47%
Jeffrey E. Wright (R),8898,22.65%
John O'Brien (PF),1921,4.89%
"Marel K. ""Bud"" Bates (L)",779,1.98%
Total Votes,39280,100.00%
,,
California's 47th Assembly District – DEM Hold,,
Teresa P. Hughes (D-inc),35092,89.14%
Victor L. Brown (R),4275,10.86%
Total Votes,39367,100.00%
,,
California's 48th Assembly District – DEM Hold,,
Maxine Waters (D-inc),42706,84.54%
Ezola Foster (R),6450,12.77%
"Jose ""Joe"" Castaneda (L)",1360,2.69%
Total Votes,50516,100.00%
,,
California's 49th Assembly District – DEM Hold,,
Gwen Moore (D-inc),70385,77.88%
Eric Givens (R),17983,19.90%
Susan M. Gong (PF),2012,2.23%
Total Votes,90380,100.00%
,,
California's 50th Assembly District – DEM Hold,,
Curtis R. Tucker (D-inc),57467,79.41%
Stephen R. Wiley (R),14904,20.59%
Total Votes,72371,100.00%
,,
California's 51st Assembly District – GOP Hold,,
Gerald N. Felando (R-inc),75879,69.33%
Jon Mercant (D),30056,27.46%
Rodney J. Dobson (L),3504,3.20%
Total Votes,109439,100.00%
,,
California's 52nd Assembly District – GOP Hold,,
Frank Hill (R-inc),60272,69.21%
Judith Prather (D),26812,30.79%
Total Votes,87084,100.00%
,,
California's 53rd Assembly District – DEM Hold,,
"Richard E. ""Dick"" Floyd (D-inc)",35234,52.77%
Roger E. Fiola (R),29045,43.50%
Anoinette Kramer (PF),2484,3.72%
Total Votes,66763,100.00%
,,
California's 54th Assembly District – GOP Gain,,
Paul E. Zeltner (R),37065,50.10%
Edward K. Waters (D),34262,46.31%
Vikki Murdock (PF),2657,3.59%
Total Votes,73984,100.00%
,,
California's 55th Assembly District – DEM Hold,,
Richard G. Polanco (D),29753,60.16%
Loren L. Lutz (R),14183,28.68%
Michael Zinzun (PF),3602,7.28%
Sarah E. Foster (L),1922,3.89%
Total Votes,49460,100.00%
,,
California's 56th Assembly District – DEM Hold,,
Gloria Molina (D-inc),21170,83.84%
Kelley J. Clark (R),4079,16.16%
Total Votes,25249,100.00%
,,
California's 57th Assembly District – DEM Hold,,
David Elder (D-inc),40001,69.96%
Clair E. Barnes (R),15829,27.68%
Max Gundersheimer (PF),1348,2.36%
Total Votes,57178,100.00%
,,
California's 58th Assembly District – GOP Hold,,
Dennis L. Brown (R-inc),71388,67.39%
Peggy Staggs (D),32324,30.51%
Paul Haak (PF),2227,2.10%
Total Votes,105939,100.00%
,,
California's 59th Assembly District – DEM Hold,,
Charles M. Calderon (D-inc),46558,71.15%
Ronald Martinez (R),18881,28.85%
Total Votes,65439,100.00%
,,
California's 60th Assembly District – DEM Hold,,
Sally Tanner (D-inc),27773,53.31%
Henry J. Velasco (R),23504,45.11%
David Carl Argall (L),825,1.58%
Total Votes,52102,100.00%
,,
California's 61st Assembly District – GOP Hold,,
Bill Leonard (R-inc),67806,70.26%
Richard A. Valdez (D),24430,25.31%
Ruth Margie Hart (AI),4270,4.42%
Total Votes,96506,100.00%
,,
California's 62nd Assembly District – GOP Hold,,
"William H. ""Bill"" Lancaster (R-inc)",67954,72.44%
Wayne N. Wendt (D),25859,27.56%
Total Votes,93813,100.00%
,,
California's 63rd Assembly District – GOP Hold,,
Wayne Grisham (R-inc),42978,58.50%
"Robert E. ""Bob"" White (D)",30486,41.50%
Total Votes,73464,100.00%
,,
California's 64th Assembly District – GOP Hold,,
Ross Johnson (R-inc),66778,72.94%
Jo Marie Lisa (D),24778,27.06%
Total Votes,91556,100.00%
,,
California's 65th Assembly District – GOP Hold,,
Charles W. Bader (R-inc),54225,68.55%
Hal Johnson (D),24880,31.45%
Total Votes,79105,100.00%
,,
California's 66th Assembly District – DEM Hold,,
Jerry Eaves (D-inc),44824,64.79%
Carol M. Turner (R),24358,35.21%
Total Votes,69182,100.00%
,,
California's 67th Assembly District – GOP Hold,,
John R. Lewis (R-inc),72293,75.16%
Ray Anderson (D),23891,24.84%
Total Votes,96184,100.00%
,,
California's 68th Assembly District – DEM Hold,,
Steve Clute (D-inc),43946,49.74%
Matt Webb (R),42301,47.88%
Violet Schmidt (PF),2110,2.39%
Total Votes,88357,100.00%
,,
California's 69th Assembly District – GOP Hold,,
Nolan Frizzelle (R-inc),70377,70.05%
Jack H. Baldwin (D),30091,29.95%
Total Votes,100468,100.00%
,,
California's 70th Assembly District – GOP Hold,,
Gil Ferguson (R-inc),89731,72.37%
Geoffrey S. Gray (D),34265,27.63%
Total Votes,123996,100.00%
,,
California's 71st Assembly District – GOP Hold,,
Doris Allen (R-inc),57728,64.47%
Mark Rosen (D),29711,33.18%
C. T. Weber (PF),2101,2.35%
Total Votes,89540,100.00%
,,
California's 72nd Assembly District – GOP Gain,,
Dick Longshore (R),29654,55.51%
Daniel E. Griset (D),23769,44.49%
Total Votes,53423,100.00%
,,
California's 73rd Assembly District – GOP Hold,,
David G. Kelley (R-inc),71795,66.49%
Byron L. Powell (D),36184,33.51%
Total Votes,107979,100.00%
,,
California's 74th Assembly District – GOP Hold,,
Robert Frazee (R-inc),83996,87.46%
Don Ellis (L),12041,12.54%
Total Votes,96037,100.00%
,,
California's 75th Assembly District – GOP Hold,,
Sunny Mojonnier (R-inc),74651,69.16%
Michael I. Lasky (D),28092,26.03%
John Murphy (L),3644,3.38%
Arnie Schoenberg (PF),1553,1.44%
Total Votes,107940,100.00%
,,
California's 76th Assembly District – GOP Hold,,
Bill Bradley (R-inc),79687,73.90%
Bob White (D),26152,24.25%
Jill Thornsberry (PF),1992,1.85%
Total Votes,107831,100.00%
,,
California's 77th Assembly District – GOP Hold,,
Larry Stirling (R-inc),66369,73.96%
Bill Smelko (D),23373,26.04%
Total Votes,89742,100.00%
,,
California's 78th Assembly District – DEM Hold,,
Lucy Killea (D-inc),53662,56.94%
Earl Cantos Jr. (R),38127,40.46%
Joseph B. Shea (L),1366,1.45%
Charles Ulmschneider (AI),1086,1.15%
Total Votes,94241,100.00%
,,
California's 79th Assembly District – DEM Hold,,
"Peter R. ""Pete"" Chacon (D-inc)",37439,65.38%
Robert C. Ard (R),17439,30.46%
"Patrick ""Pat"" Wright (L)",1238,2.16%
Bernice Wertheimer (PF),1145,2.00%
Total Votes,57261,100.00%
,,
California's 80th Assembly District – DEM Hold,,
Steve Peace (D-inc),39806,64.53%
Tom DuBose (R),21089,34.19%
Randy Myrseth (L),787,1.28%
Total Votes,61682,100.00%
,,
"California Legislative Elections, 1984",,
California's 1st Senate District – GOP Hold,,
John T. Doolittle (R-inc),121353,44.06%
Ray E. Johnson (I),112226,40.75%
Jack C. Hornsby (D),35978,13.06%
Robert M. Murphy (L),5864,2.13%
Total Votes,275421,100.00%
,,
California's 3rd Senate District – GOP Hold,,
Milton Marks (R-inc),181309,68.09%
Lia Belli (D),72591,27.26%
Mark Read Pickens (L),6208,2.33%
"Andrew R. ""Paul"" Kangas (PF)",6175,2.32%
Total Votes,266283,100.00%
,,
California's 5th Senate District – DEM Hold,,
John Garamendi (D-inc),176910,69.10%
John W. Saunders III (R),70919,27.70%
Nancy Warner (PF),8174,3.19%
Total Votes,256003,100.00%
,,
California's 7th Senate District – DEM Hold,,
Daniel Boatwright (D-inc),182108,67.27%
Walt Layson (R),88595,32.73%
Total Votes,270703,100.00%
,,
California's 9th Senate District – DEM Hold,,
Nicholas C. Petris (D-inc),192317,73.75%
Todd Lewis Roust (R),59753,22.91%
Elaine Jinx Huehn (PF),8709,3.34%
Total Votes,260779,100.00%
,,
California's 11th Senate District – GOP Hold,,
Becky Morgan (R),148629,51.87%
Arlen F. Gregorio (D),133605,46.62%
David R. Castronovo (AI),4332,1.51%
Total Votes,286566,100.00%
,,
California's 13th Senate District – DEM Hold,,
Al Alquist (D-inc),131808,64.65%
Betsy S. Smullen (R),64621,31.69%
Kim Roberts (L),7465,3.66%
Total Votes,203894,100.00%
,,
California's 15th Senate District – DEM Hold,,
Rose Ann Vuich (D-inc),162173,75.87%
Patrick M. King (R),51582,24.13%
Total Votes,213755,100.00%
,,
California's 17th Senate District – DEM Hold,,
Henry Mello (D-inc),148827,65.61%
Stephen Roger Magyar (R),78003,34.39%
Total Votes,226830,100.00%
,,
California's 19th Senate District – GOP Hold,,
Ed Davis (R-inc),200748,74.50%
Andrew Earl Martin (D),68706,25.50%
Total Votes,269454,100.00%
,,
California's 21st Senate District – GOP Hold,,
Newton R. Russell (R-inc),195567,75.12%
Kathy Moyd (D),64771,24.88%
Total Votes,260338,100.00%
,,
California's 23rd Senate District – DEM Hold,,
David A. Roberti (D-inc),112234,65.03%
Thomas Hunter Russell (R),51521,29.85%
Sonia Cruz (PF),5708,3.31%
Ted Brown (L),3126,1.81%
Total Votes,172589,100.00%
,,
California's 25th Senate District – GOP Hold,,
"H. L. ""Bill"" Richardson (R-inc)",168257,66.65%
Diana Monaghan (D),84188,33.35%
Total Votes,252445,100.00%
,,
California's 27th Senate District – DEM Hold,,
Bill Greene (D-inc),109463,87.82%
Johnnie G. Neely (R),15188,12.18%
Total Votes,124651,100.00%
,,
California's 29th Senate District – GOP Hold,,
Robert G. Beverly (R-inc),177272,69.72%
Suzanne G. Distaso (D),67729,26.64%
Steve Kelley (L),4764,1.87%
Robert Lewis Savage (PF),4492,1.77%
Total Votes,254257,100.00%
,,
California's 31st Senate District – GOP Hold,,
"William P. ""Bill"" Campbell (R-inc)",194656,75.04%
Stan Caress (D),64748,24.96%
Total Votes,259404,100.00%
,,
California's 33rd Senate District – DEM Hold,,
Paul B. Carpenter (D-inc),108530,52.56%
"Margaret J. ""Maggie"" Vineyard (R)",94678,45.86%
Charlie Hilfenhaus (PF),3262,1.58%
Total Votes,206470,100.00%
,,
California's 35th Senate District – GOP Hold,,
John Seymour (R-inc),186876,74.15%
Jan Mark Dudman (D),56951,22.60%
Kelly M. Schooling (PF),8212,3.26%
Total Votes,252039,100.00%
,,
California's 37th Senate District – GOP Hold,,
Marian C. Bergeson (R),198642,73.89%
Alice Keyes (D),70207,26.11%
Total Votes,268849,100.00%
,,
California's 39th Senate District – GOP Hold,,
Jim Ellis (R-inc),186639,72.17%
"Daniel W. ""Dan"" Finnegan (D)",71973,27.83%
Total Votes,258612,100.00%
,,
California's 1st Assembly District – GOP Hold,,
Stan Statham (R-inc),109941,100.00%
,,
California's 2nd Assembly District – DEM Hold,,
"Daniel E. ""Dan"" Hauser (D-inc)",73496,52.42%
Danny Walsh (R),66698,47.58%
Total Votes,140194,100.00%
,,
California's 3rd Assembly District – GOP Hold,,
Wally Herger (R-inc),90249,70.75%
"Thomas W. ""Tom"" King (D)",37305,29.25%
Total Votes,127554,100.00%
,,
California's 4th Assembly District – DEM Hold,,
Thomas M. Hannigan (D-inc),85564,71.19%
Thomas L. Barnes (R),34631,28.81%
Total Votes,120195,100.00%
,,
California's 5th Assembly District – DEM Hold,,
Jean Moorhead Duffy (D-inc),70450,48.96%
Tim Leslie (R),69071,48.01%
Charles L. Carr (L),4359,3.03%
Total Votes,143880,100.00%
,,
California's 6th Assembly District – DEM Hold,,
Lloyd G. Connelly (D-inc),96722,100.00%
,,
California's 7th Assembly District – DEM Hold,,
Norman S. Waters (D-inc),98043,68.35%
Jim Head (R),45397,31.65%
Total Votes,143440,100.00%
,,
California's 8th Assembly District – GOP Hold,,
Don A. Sebastiani (R-inc),76167,52.03%
Mary Jadiker (D),70219,47.97%
Total Votes,146386,100.00%
,,
California's 9th Assembly District – GOP Hold,,
"William J. ""Bill"" Filante (R-inc)",83402,56.63%
Paul C. Chignell (D),63867,43.37%
Total Votes,147269,100.00%
,,
California's 10th Assembly District – DEM Hold,,
Phillip L. Isenberg (D-inc),99335,100.00%
,,
California's 11th Assembly District – DEM Hold,,
"Robert J. ""Bob"" Campbell (D-inc)",95382,100.00%
,,
California's 12th Assembly District – DEM Hold,,
Tom Bates (D-inc),130682,88.48%
Fred E. Foldvary (L),10983,7.44%
Lewis J. Shireman (PF),6031,4.08%
Total Votes,147696,100.00%
,,
California's 13th Assembly District,,
Elihu M. Harris (D),85660,100.00%
,,
California's 14th Assembly District – DEM Hold,,
Johan Klehs (D-inc),79473,69.21%
Bruce W. Bergondy (R),35350,30.79%
Total Votes,114823,100.00%
,,
California's 15th Assembly District – GOP Hold,,
"William P. ""Bill"" Baker (R-inc)",107402,71.06%
John Bauer (D),43736,28.94%
Total Votes,151138,100.00%
,,
California's 16th Assembly District – DEM Hold,,
Art Agnos (D-inc),81446,82.04%
Max Woods (R),17830,17.96%
Total Votes,99276,100.00%
,,
California's 17th Assembly District – DEM Hold,,
Willie Brown (D-inc),93417,70.07%
Lee S. Dolson (R),39898,29.93%
Total Votes,133315,100.00%
,,
California's 18th Assembly District – DEM Hold,,
Alister McAlister (D-inc),64866,63.42%
Martin Leo Mehan (R),32920,32.19%
John H. Webster (L),4493,4.39%
Total Votes,102279,100.00%
,,
California's 19th Assembly District – DEM Hold,,
Lou Papan (D),67479,65.75%
Robert Silvestri (R),35152,34.25%
Total Votes,102631,100.00%
,,
California's 20th Assembly District – DEM Hold,,
Robert W. Naylor (R),95758,69.75%
Arthur Lepore (D),41526,30.25%
Total Votes,137284,100.00%
,,
California's 21st Assembly District – DEM Hold,,
Byron D. Sher (D-inc),79488,66.83%
Morley Wingrove (R),34965,29.40%
Ross R. W. Parlette (L),2860,2.40%
Frank DeSio (PF),1629,1.37%
Total Votes,118942,100.00%
,,
California's 22nd Assembly District – GOP Hold,,
Ernie Konnyu (R-inc),87583,62.67%
Gloria Rose Ott (D),48894,34.99%
Andrew R. Fleisher (L),3266,2.34%
Total Votes,139743,100.00%
,,
California's 23rd Assembly District – DEM Hold,,
John Vasconcellos (D-inc),76978,87.77%
Dante De Amicis (L),10726,12.23%
Total Votes,87704,100.00%
,,
California's 24th Assembly District – DEM Hold,,
Dom Cortese (D-inc),67713,63.37%
Jack Sandoval (R),39148,36.63%
Total Votes,106861,100.00%
,,
California's 25th Assembly District – DEM Hold,,
Rusty Areias (D-inc),82413,91.73%
Mark Hinkle (L),7431,8.27%
Total Votes,89844,100.00%
,,
California's 26th Assembly District – DEM Hold,,
Patrick Johnston (D-inc),64486,57.13%
Doug Wilhoit (R),48393,42.87%
Total Votes,112879,100.00%
,,
California's 27th Assembly District – DEM Hold,,
Gary Condit (D-inc),81853,100.00%
,,
California's 28th Assembly District – DEM Hold,,
Sam Farr (D-inc),94612,72.86%
