Year,State,President,Senator (Sr.),Senator (Jr.)
2020,AL,R,R,R
2020,AK,R,R,R
2020,AZ,D,D,D
2020,AR,R,R,R
2020,CA,D,D,D
2020,CO,D,D,D
2020,CT,D,D,D
2020,DE,D,D,D
2020,FL,R,R,R
2020,GA,D,D,D
2020,HI,D,D,D
2020,ID,R,R,R
2020,IL,D,D,D
2020,IN,R,R,R
2020,IA,R,R,R
2020,KS,R,R,R
2020,KY,R,R,R
2020,LA,R,R,R
2020,ME,D,R,D
2020,MD,D,D,D
2020,MA,D,D,D
2020,MI,D,D,D
2020,MN,D,D,D
2020,MS,R,R,R
2020,MO,R,R,R
2020,MT,R,D,R
2020,NE,R,R,R
2020,NV,D,D,D
2020,NH,D,D,D
2020,NJ,D,D,D
2020,NM,D,D,D
2020,NY,D,D,D
2020,NC,R,R,R
2020,ND,R,R,R
2020,OH,R,D,R
2020,OK,R,R,R
2020,OR,D,D,D
2020,PA,D,D,R
2020,RI,D,D,D
2020,SC,R,R,R
2020,SD,R,R,R
2020,TN,R,R,R
2020,TX,R,R,R
2020,UT,R,R,R
2020,VT,D,D,D
2020,VA,D,D,D
2020,WA,D,D,D
2020,WV,R,D,R
2020,WI,D,R,D
2020,WY,R,R,R
2018,AL,R,R,D
2018,AK,R,R,R
2018,AZ,R,D,R
2018,AR,R,R,R
2018,CA,D,D,D
2018,CO,D,D,R
2018,CT,D,D,D
2018,DE,D,D,D
2018,FL,R,R,R
2018,GA,R,R,R
2018,HI,D,D,D
2018,ID,R,R,R
2018,IL,D,D,D
2018,IN,R,R,R
2018,IA,R,R,R
2018,KS,R,R,R
2018,KY,R,R,R
2018,LA,R,R,R
2018,ME,D,R,D
2018,MD,D,D,D
2018,MA,D,D,D
2018,MI,R,D,D
2018,MN,D,D,D
2018,MS,R,R,R
2018,MO,R,R,R
2018,MT,R,D,R
2018,NE,R,R,R
2018,NV,D,D,D
2018,NH,D,D,D
2018,NJ,D,D,D
2018,NM,D,D,D
2018,NY,D,D,D
2018,NC,R,R,R
2018,ND,R,R,R
2018,OH,R,D,R
2018,OK,R,R,R
2018,OR,D,D,D
2018,PA,R,D,R
2018,RI,D,D,D
2018,SC,R,R,R
2018,SD,R,R,R
2018,TN,R,R,R
2018,TX,R,R,R
2018,UT,R,R,R
2018,VT,D,D,D
2018,VA,D,D,D
2018,WA,D,D,D
2018,WV,R,D,R
2018,WI,R,R,D
2018,WY,R,R,R